Dispensary Name,Address,City,Zip Code,Type
House of Green,3105 Minnesota Dr,Anchorage,99503,Retail
Great Northern Cannabis - Dimond,1901 W Dimond Blvd,Anchorage,99515,Retail
Great Northern Cannabis - Downtown,541 W 4th Ave,Anchorage,99501,Retail
Great Northern Cannabis - Tudor,2600 E Tudor Rd,Anchorage,99507,Retail
Uncle Herb's - Arctic Spur,6511 Arctic Spur Rd,Anchorage,99518,Retail
Uncle Herb's - Boniface,360 Boniface Parkway,Anchorage,99504,Retail
Red Run Cannabis - Downtown,225 E 5th Ave,Anchorage,99501,Retail
Enlighten Alaska - Spenard,2600 Spenard Rd,Anchorage,99503,Retail
Cannabaska,521 W Tudor Rd,Anchorage,99501,Retail
Primo,12870 Old Seward Hwy,Anchorage,99515,Retail
Arctic Herbery,7107 Arctic Blvd,Anchorage,99518,Retail
Voodoo Cannabis Company,930 Gambell St,Anchorage,99501,Retail
Mary Janes Cannabis Emporium,8857 Jewel Lake Rd,Anchorage,99502,Retail
The Roots - Raspberry,Raspberry Rd,Anchorage,99518,Retail
The Roots - Midtown,Midtown,Anchorage,99503,Retail
The Roots - Hillside,Hillside,Anchorage,99516,Retail
Enlighten - Old Seward,Old Seward Hwy,Anchorage,99515,Retail
Wobbly Moose,Alaska,Anchorage,99501,Retail
Alaska Cannabis Exchange,Alaska,Anchorage,99501,Retail
The Green Room AK,Alaska,Anchorage,99503,Retail
The Red Light District,Alaska,Anchorage,99501,Retail
Dankorage,Alaska,Anchorage,99507,Retail
Canna Get Happy - Anchorage,Alaska,Anchorage,99503,Retail
Secret Garden Cannabis,Alaska,Anchorage,99516,Retail
Red Run Cannabis Company International,Alaska,Anchorage,99501,Retail
Ganja By Sarah,Alaska,Anchorage,99503,Retail
The Tree House AK,Alaska,Anchorage,99501,Retail
Pakalolo Supply Co,1851 Fox Ave,Fairbanks,99701,Retail
Grass Station 49 - Chena Hot Springs,665 Rainbow Dr,Fairbanks,99712,Retail
High Vibes,Fairbanks,Fairbanks,99701,Retail
Tanana Herb Company,Fairbanks,Fairbanks,99701,Retail
True Dank,Fairbanks,Fairbanks,99701,Retail
Blaze,Fairbanks,Fairbanks,99701,Retail
The Honey Pot,Badger Rd,North Pole,99705,Retail
Old Steese - Pipe & Leaf,901 Old Steese Hwy,Fairbanks,99701,Retail
Airport Way - Pipe & Leaf,3546 Airport Way,Fairbanks,99709,Retail
Nature's ReLeaf,Fairbanks,Fairbanks,99701,Retail
Rebel Roots - Farmers Loop,Fairbanks,Fairbanks,99709,Retail
Badger Buds,Fairbanks,Fairbanks,99701,Retail
Rebel Roots - Goldstream,2575 Goldstream Rd,Fairbanks,99709,Retail
GOOD Cannabis,Fairbanks,Fairbanks,99701,Retail
GoodSinse - East,Fairbanks,Fairbanks,99701,Retail
Green Life Supply,Fairbanks,Fairbanks,99701,Retail
GoodSinse - West,Fairbanks,Fairbanks,99701,Retail
Airport Way Best Bud,Fairbanks,Fairbanks,99709,Retail
One Hit Wonder,Fairbanks,Fairbanks,99701,Retail
The Knotty Puffin,Fairbanks,Fairbanks,99701,Retail
The High Expedition,Fairbanks,Fairbanks,99701,Retail
Green Degree Tl'Oh Suu,Fairbanks,Fairbanks,99701,Retail
Green Degree - Hilltop,Fairbanks,Fairbanks,99701,Retail
Hatchers Grass,9300 N Palmer-Fishhook Rd,Palmer,99645,Retail
Willow - Pipe and Leaf,Willow,Willow,99688,Retail
The Connoisseur Lounge,226 Evergreen Ave,Palmer,99645,Retail
Higher,1204 N Hyer Spur Rd,Palmer,99645,Retail
The Fireweed Factory,237 Front St,Juneau,99801,Retail
The Mason Jar,Juneau,Juneau,99801,Retail
Dandelion Dispensary,Juneau,Juneau,99801,Retail
Boomtown Buds,Juneau,Juneau,99801,Retail
Remedy Shoppe,Juneau,Juneau,99801,Retail
AKO Farms LLC,Juneau,Juneau,99801,Retail
Weed Dudes,1321 Sawmill Creek Rd,Sitka,99835,Retail
Northern Lights Indoor Gardens,Sitka,Sitka,99835,Retail
Island Girl Cannabis,Sitka,Sitka,99835,Retail
The 420,Juneau,Juneau,99801,Retail
Happy Cannabis,Juneau,Juneau,99801,Retail
Triple J's Canna Space,Juneau,Juneau,99801,Retail
420 Green Street,Juneau,Juneau,99801,Retail
Thee Treasure Chest,Juneau,Juneau,99801,Retail
Cannabis Corner,Juneau,Juneau,99801,Retail
Higher Dimensions,Juneau,Juneau,99801,Retail
Glacier Valley Shoppe,8505 Old Dairy Rd,Juneau,99801,Retail
Alaskan Kush Company,159 S Franklin St,Juneau,99801,Retail
Crossroads Cannabis,Juneau,Juneau,99801,Retail
Coastal Cannabis Company,Juneau,Juneau,99801,Retail
Herbal Outfitters,Juneau,Juneau,99801,Retail
Tony's Headshop & Cannabis Retail,Juneau,Juneau,99801,Retail
Treadwell Herb Co,Juneau,Juneau,99801,Retail
The Stoney Moose,127 Steadman St,Ketchikan,99901,Retail
Cannabis Cove,Ward Cove,Ketchikan,99901,Retail
Rainforest Cannabis,726 Water St,Ketchikan,99901,Retail
Uncle Herb's - Homer,1213 Ocean Dr,Homer,99603,Retail
Alaskan Cannabis Outfitters,41945 Sterling Hwy,Homer,99603,Retail
Bristol Bay Bud Company,233 Airport Rd,Dillingham,99576,Retail
Bad Gramm3r - Wasilla,1150 N Helen Ln,Wasilla,99654,Retail
Canna Get Happy - Wasilla,2321 E Palmer-Wasilla Hwy,Wasilla,99654,Retail
Green Degree,2301 S Knik Goose-Bay Rd,Wasilla,99654,Retail
Green Degree - West,3361 W Machen Rd,Wasilla,99654,Retail
Green Jar,4901 E Blue Lupine Dr,Wasilla,99654,Retail
Green Raven,5320 W Parks Hwy,Wasilla,99654,Retail
Laughing Salmon Cannabis,173 N Rosie Circle #1,Wasilla,99654,Retail
MCC Flight,5675 E Blue Lupine Dr,Wasilla,99654,Retail
