Dispensary Name,Address,City,Zip Code,Type
INSA,167 Brainard Rd,Hartford,06114,Hybrid
INSA,222 Sargent Dr,New Haven,06511,Hybrid
Curaleaf,92 Weston St Ste 16,Hartford,06120,Hybrid
Curaleaf,814 E Main St,Stamford,06902,Hybrid
Curaleaf,240 Buckland St,Manchester,06042,Hybrid
Curaleaf,79 Gold Star Hwy,Groton,06340,Hybrid
Fine Fettle,1228 Farmington Ave,Bristol,06010,Hybrid
Fine Fettle,2280 Berlin Turnpike,Newington,06111,Hybrid
Fine Fettle,12 Research Dr,Stamford,06907,Hybrid
Fine Fettle,1548 W Main St,Willimantic,06226,Hybrid
Fine Fettle,191 Main St,Norwalk,06851,Recreational
Fine Fettle,85 Turnpike Dr,Waterbury,06705,Recreational
The Botanist,105 Mill Plain Rd,Danbury,06811,Hybrid
The Botanist,887 Norwich-New London Tpke,Uncasville,06382,Hybrid
Zen Leaf,585 S Main St Ste 7,Naugatuck,06770,Hybrid
Zen Leaf,237 E Aurora St,Waterbury,06708,Hybrid
Zen Leaf,1371 E Main St Ste 7,Meriden,06450,Hybrid
Zen Leaf,2903 Berlin Turnpike,Newington,06111,Hybrid
Zen Leaf,606 W Main St,Norwich,06360,Hybrid
Zen Leaf,55 Nott Hwy,Ashford,06278,Hybrid
Zen Leaf,98 Elm St,Enfield,06082,Hybrid
Affinity,1351 Whalley Ave,New Haven,06515,Hybrid
Affinity,2000 Commerce Dr,Bridgeport,06610,Hybrid
Shangri-La,430 Main Ave,Norwalk,06851,Hybrid
Shangri-La,75 Connecticut Ave,Norwalk,06850,Hybrid
Shangri-La,53 Interstate Ln,Waterbury,06705,Recreational
Trulieve,820 Farmington Ave,Bristol,06010,Hybrid
RISE,175 Boston Post Rd,Orange,06477,Hybrid
Hi People,90 Pershing Dr,Derby,06418,Recreational
Still River Wellness,3568 Winsted Rd,Torrington,06790,Hybrid
Budr Cannabis,105 Mill Plain Rd,Danbury,06811,Recreational
Budr Cannabis,108 Federal Rd,Danbury,06810,Recreational
AYR Cannabis,185 Spencer St,Manchester,06040,Recreational
