Dispensary Name,Address,City,Zip Code,Type
Bloom,131 Brickyard Ln Ste 5,Billings,59101,Medical & Recreational
Uncle Bucks Glass Shop,206 Reynolds St,Billings,59101,Medical & Recreational
Holistic Releaf By Design,2860 Old Hardin Rd Ste D,Billings,59101,Medical & Recreational
Elevated Medical Marijuana - Lockwood,1827 Old Hardin Rd,Billings,59101,Medical & Recreational
Seed Of Life Labs - Stearns,5702 Stearns Circle Ste 1,Billings,59101,Medical & Recreational
312 Cannabis,3954 Highway 312,Billings,59101,Medical & Recreational
Comfort Care Cannabliss Co.,1431 Old Hardin Rd,Billings,59101,Recreational
Lionheart Cannabis - Billings,6400 S Frontage Rd,Billings,59101,Medical & Recreational
Pure Dispensary - Billings,7535 Entryway Drive,Billings,59101,Medical & Recreational
MariMint - Lockwood,1217 US Hwy 87 E Ste A,Billings,59101,Medical & Recreational
MariMint - West End,1415 S 32nd St W,Billings,59102,Medical & Recreational
Elevated - Billings West End,1401 S 32nd St W,Billings,59102,Recreational
Medicine Creek Cannabis Dispensary,1744 Mullowney Ln,Billings,59102,Medical & Recreational
Granite Peak Distributing,4028 Central Ave,Billings,59106,Medical & Recreational
The Green Bee Dispensary,1644 S 48th St W,Billings,59106,Medical & Recreational
Bloom West Billings,9055 Quest Ave,Billings,59106,Recreational
Frosteez - Billings,5055 Jellison Rd,Billings,59106,Recreational
SensiCare,1020 Hannon Rd,Billings,59101,Medical & Recreational
Seed of Life Labs - 32nd,41 Sugar Avenue,Billings,59102,Medical & Recreational
Seed of Life Labs - Heights,Multiple Locations,Billings,59102,Medical & Recreational
Natural Wellness Billings,Multiple Locations,Billings,59101,Medical & Recreational
Purple Cow Dispensary,Multiple Locations,Billings,59102,Medical & Recreational
406 Organix - Billings,Multiple Locations,Billings,59102,Recreational
Yellowstone Cannabis,Multiple Locations,Billings,59101,Medical Only
Magic City ReLeaf,Multiple Locations,Billings,59102,Medical Only
Lighthouse Organics - Billings,Multiple Locations,Billings,59102,Medical Only
Hometree - Billings,Multiple Locations,Billings,59102,Medical & Recreational
Elevated - Lockwood at Johnson Lane,Multiple Locations,Billings,59101,Recreational
Elevated - Roberts,Multiple Locations,Billings,59101,Medical & Recreational
Bloom Montana-South Lockwood,Multiple Locations,Billings,59101,Medical & Recreational
Bloom Montana-Frontage Rd,Multiple Locations,Billings,59101,Medical & Recreational
Bloom Montana-3rd Ave,Multiple Locations,Billings,59101,Medical & Recreational
Seed of Life Labs - Sugar Ave,Multiple Locations,Billings,59101,Medical & Recreational
Silverleaf Cannabis Co. - Missoula,345 W Front St,Missoula,59802,Medical & Recreational
Bloom - Missoula,1001 N Russell St A,Missoula,59802,Medical & Recreational
Collective Elevation Missoula,211 W Broadway St,Missoula,59802,Medical & Recreational
Spark1 Dispensary,400 E Broadway St,Missoula,59802,Medical & Recreational
Starrbuds - Missoula,1323 W Broadway St,Missoula,59802,Medical & Recreational
Groove Marijuana Dispensary,132 W Front St Suite 2,Missoula,59802,Medical & Recreational
Zen Medicine MMJ Dispensary,210 S 3rd St W,Missoula,59801,Medical & Recreational
Greener Pastures - Missoula,900 Strand Ave,Missoula,59801,Medical & Recreational
Euphoria Wellness - Missoula,616 S Higgins Ave,Missoula,59801,Medical & Recreational
Top Shelf Botanicals - Missoula,2502 Brooks St,Missoula,59801,Medical & Recreational
Urban Farmer,120 South Ave W,Missoula,59801,Medical & Recreational
Elevated - Missoula Higgins,2301 S Higgins Ave,Missoula,59801,Medical & Recreational
Lionheart Cannabis - Missoula,2007 Brooks St,Missoula,59801,Medical & Recreational
406 Bliss - Central Ave,Multiple Locations,Missoula,59802,Medical & Recreational
406 Bliss - Lolo,Multiple Locations,Missoula,59802,Medical & Recreational
Elevated - Missoula Brooks,Multiple Locations,Missoula,59801,Medical & Recreational
Bloom Montana-South Missoula,Multiple Locations,Missoula,59801,Medical & Recreational
Indo,Multiple Locations,Missoula,59802,Medical & Recreational
Cookies Weed Dispensary Missoula,Multiple Locations,Missoula,59802,Medical & Recreational
Groove Solventless,Multiple Locations,Missoula,59802,Medical & Recreational
Firefly,Multiple Locations,Missoula,59802,Medical & Recreational
Bitterroot Cannabis Company,Multiple Locations,Missoula,59802,Medical & Recreational
Hometree - Missoula,Multiple Locations,Missoula,59801,Medical & Recreational
Frosteez - Missoula,1275 W Broadway St,Missoula,59801,Recreational
Lifted Meds Missoula Dispensary,Multiple Locations,Missoula,59801,Medical & Recreational
Mile High Missoula,Multiple Locations,Missoula,59801,Medical & Recreational
