Dispensary Name,Address,City,Zip Code,Type
BEYOND/HELLO,7885 W Sahara Ave Suite 111-112,Las Vegas,89117,Retail
BEYOND/HELLO,430 E Twain Ave,Las Vegas,89169,Retail
CANNA STARZ,631 S Las Vegas Blvd,Las Vegas,89101,Retail
THE CANNABIS CO.,200 E Charleston Blvd,Las Vegas,89104,Retail
COOKIES,2307 S Las Vegas Blvd,Las Vegas,89104,Retail
COOKIES LAS VEGAS,4240 W Flamingo Rd Suite 100,Las Vegas,89103,Retail
CULTIVATE,3615 Spring Mountain Rd,Las Vegas,89102,Retail
CULTIVATE,7105 N Durango Dr Suite 120,Las Vegas,89149,Retail
CURALEAF,2320 Western Ave,Las Vegas,89102,Retail
CURALEAF,1370 W Cheyenne Ave Suite 1,North Las Vegas,89030,Retail
CURALEAF,1736 S Las Vegas Blvd,Las Vegas,89104,Retail
CURALEAF,3400 Western Ave,Las Vegas,89109,Retail
DEEP ROOTS HARVEST,5991 W Cheyenne Ave,Las Vegas,89108,Retail
DEEP ROOTS HARVEST,1306 W Craig Rd Suite A,North Las Vegas,89032,Retail
DEEP ROOTS HARVEST,3725 Blue Diamond Rd,Las Vegas,89139,Retail
DEEP ROOTS HARVEST,580 Parkson Rd,Las Vegas,89106,Retail
THE DISPENSARY,50 N Gibson Rd Suite 170 & 175,Henderson,89014,Retail
THE DISPENSARY,5347 S Decatur Blvd,Las Vegas,89118,Retail
EUPHORIA WELLNESS,7780 S Jones Blvd Suite 105,Las Vegas,89139,Retail
GREEN.,4510 S Hualapai Way,Las Vegas,89147,Retail
GREEN.,101 S Rainbow Blvd Suite 1-5,Las Vegas,89145,Retail
GREENLIGHT DISPENSARY,823 S 3rd St,Las Vegas,89101,Retail
GREENLIGHT DISPENSARY,2244 Paradise Rd,Las Vegas,89104,Retail
THE GROVE,4647 University Center Dr,Las Vegas,89119,Retail
THE GROVE,1600 S Las Vegas Blvd Suite 150,Las Vegas,89104,Retail
INYO FINE CANNABIS DISPENSARY,2520 S Maryland Parkway Suite 2,Las Vegas,89104,Retail
JADE CANNABIS CO,1130 E Desert Inn Rd,Las Vegas,89109,Retail
JADE CANNABIS CO,6050 Sky Pointe Ave Suite 150,Las Vegas,89131,Retail
JARDIN,2900 E Desert Inn Rd Suite 102,Las Vegas,89121,Retail
JENNYS DISPENSARY,5530 N Decatur Blvd,Las Vegas,89130,Retail
LIVFREE WELLNESS,8605 S Eastern Ave,Las Vegas,89123,Retail
MEDIZIN,4850 W Sunset Rd Suite 130,Las Vegas,89118,Retail
MINT CANNABIS,4503 Paradise Rd,Las Vegas,89169,Retail
MINT CANNABIS,6332 S Rainbow Blvd Suite 105,Las Vegas,89118,Retail
NEVADA MADE MARIJUANA,1975 S Casino Dr,Las Vegas,89104,Retail
NEVADA MADE MARIJUANA,7650 W Charleston Blvd,Las Vegas,89117,Retail
NEVADA WELLNESS CENTER,3200 S Valley View Blvd,Las Vegas,89102,Retail
NWC WEST,9030 W Flamingo Rd Suite 180,Las Vegas,89147,Retail
OASIS MEDICAL CANNABIS,1800 Industrial Rd Suite 180,Las Vegas,89102,Retail
PISOS,4110 S Maryland Parkway Suite 1,Las Vegas,89119,Retail
PLANET 13,2548 W Desert Inn Rd,Las Vegas,89109,Retail
RISE,5765 W Tropicana Ave,Las Vegas,89103,Retail
RISE,871 N Nellis Blvd Suite 9,Las Vegas,89110,Retail
RISE,6410 S Durango Dr,Las Vegas,89113,Retail
RISE,3930 W Craig Rd Suite 101-104,North Las Vegas,89032,Retail
SAHARA WELLNESS,420 E Sahara Ave,Las Vegas,89104,Retail
THE SANCTUARY DISPENSARIES,1324 S 3rd St,Las Vegas,89104,Retail
THE SANCTUARY DISPENSARIES,2113 N Las Vegas Blvd,North Las Vegas,89030,Retail
THE SPOT,4310 W Flamingo Rd,Las Vegas,89103,Retail
SLV DISPENSARY,4380 S Boulder Hwy,Las Vegas,89121,Retail
SHOWGROW,4850 S Fort Apache Rd Suite 100,Las Vegas,89147,Retail
SILVER SAGE WELLNESS,4626 W Charleston Blvd,Las Vegas,89102,Retail
THE SOURCE,2550 S Rainbow Blvd,Las Vegas,89146,Retail
THE SOURCE,420 E Deer Springs Way Suite 100,North Las Vegas,89086,Retail
THE SOURCE,2370 & 2380 Homestead Rd,Las Vegas,89142,Retail
THRIVE CANNABIS MARKETPLACE,3500 W Sahara Ave,Las Vegas,89102,Retail
THRIVE CANNABIS MARKETPLACE,2755 W Cheyenne Ave,North Las Vegas,89032,Retail
THRIVE CANNABIS MARKETPLACE,2975 Sammy Davis Jr Dr,Las Vegas,89109,Retail
THRIVE CANNABIS MARKETPLACE,1317 S Main St,Las Vegas,89104,Retail
THRIVE CANNABIS MARKETPLACE,3698 W Cactus Ave Suite 107-109,Las Vegas,89147,Retail
TOP NOTCH THE HEALTH CENTER,5630 Stephanie St,Las Vegas,89122,Retail
THE TREEHOUSE VEGAS,4660 S Decatur Blvd,Las Vegas,89103,Retail
TREE OF LIFE DISPENSARY LV,1437 N Jones Blvd,Las Vegas,89108,Retail
TREE OF LIFE NV,150 E Centennial Parkway Suite 114,North Las Vegas,89084,Retail
WALLFLOWER CANNABIS HOUSE,6540 Blue Diamond Rd,Las Vegas,89178,Retail
WALLFLOWER CANNABIS HOUSE,3485 Volunteer Blvd,Las Vegas,89032,Retail
ZEN LEAF,9120 W Post Rd Suite 103,Las Vegas,89148,Retail
ZEN LEAF,5940 W Flamingo Rd,Las Vegas,89103,Retail
ZEN LEAF NORTH LAS VEGAS,4444 Craig Rd,North Las Vegas,89032,Retail
GREEN.,10420 S Eastern Ave Suite 100,Henderson,89052,Retail
NEVADA MADE MARIJUANA,1675 E Cactus Ave,Henderson,89014,Retail
RISE,4300 E Sunset Rd Suite A2-A3,Henderson,89014,Retail
RISE,1000 S Boulder Hwy,Henderson,89015,Retail
THE SOURCE,9480 S Eastern Ave Suite 185 & 190,Henderson,89123,Retail
THE GROVE,1541 E Basin Ave,Pahrump,89048,Retail
DEEP ROOTS HARVEST,195 Willis Carrier Canyon,Mesquite,89027,Retail
CURALEAF,195 E Glendale Ave Suite 3,Sparks,89431,Retail
CURALEAF,5105 Sun Valley Blvd Bldg B,Sun Valley,89433,Retail
THE DISPENSARY,100 W Plumb Ln,Reno,89509,Retail
THE DISPENSARY,340 Lemmon Dr Suite A,Reno,89506,Retail
THE DISPENSARY,132 E 2nd St,Reno,89501,Retail
THE GOLD LEAF,3302 Traders Way,Reno,89511,Retail
GREEN CROSS FARMACY,510 W Williams Ave,Reno,89502,Retail
GREENLEAF WELLNESS,1730 Glendale Ave,Reno,89431,Retail
JADE CANNABIS CO.,1085 S Virginia St,Reno,89502,Retail
KANNA,5398 Sun Valley Blvd,Sun Valley,89433,Retail
LUCID MANAGEMENT,3555 Construction Way,Reno,89511,Retail
PURE TONIC CONCENTRATES,420 USA Parkway,Reno,89510,Retail
RISE,2881 Northtowne Ln,Reno,89431,Retail
RISE SPANISH SPRINGS,9650 Pyramid Way,Spanish Springs,89436,Retail
SILVER STATE RELIEF,175 E Greg St,Reno,89431,Retail
SILVER STATE RELIEF,1301 Financial Way,Reno,89502,Retail
SILVER STATE RELIEF,12240 Old Virginia Rd,Reno,89521,Retail
SOL CANNABIS,275 US Highway 395 S,Reno,89503,Retail
THRIVE CANNABIS MARKETPLACE,7300 S Virginia St Suite B,Reno,89511,Retail
ZEN LEAF,1605 E 2nd St Suite 103,Reno,89502,Retail
RISE,135 Clearview Dr Unit 119,Carson City,89701,Retail
RISE CARSON CITY,3060 U.S. Highway 50,Carson City,89701,Retail
ZEN LEAF,2765 US Highway 50 E Suite A,Carson City,89701,Retail
BATTLE BORN DISPENSARY,10115 US Highway 50,Carson City,89701,Retail
BEYOND/HELLO,877 Tahoe Blvd,Incline Village,89451,Retail
DEEP ROOTS HARVEST,395 Industrial Way,West Wendover,89883,Retail
HIGH SIERRA HOLISTICS,5270 Longley Ln,Reno,89511,Retail
STASH FINE CANNABIS,1164 U.S. Highway 95,Beatty,89003,Retail
GREENLIGHT DISPENSARY,940 E Aultman St,Ely,89301,Retail
THRIVE CANNABIS MARKETPLACE,1868 Royal Dr,Jackpot,89825,Retail
DAZED!,2548 W Desert Inn Rd,Las Vegas,89109,Consumption Lounge
SMOKE AND MIRRORS,2975 Sammy Davis Jr Dr,Las Vegas,89109,Consumption Lounge
