Dispensary Name,Address,City,Zip Code,Type
R Greenleaf Organics - Westside,5201 Ouray Rd NW Ste C,Albuquerque,87120,Recreational & Medical
R Greenleaf Organics - NE Heights,9821 Montgomery Blvd NE Ste C and D,Albuquerque,87111,Recreational & Medical
R Greenleaf Organics - Downtown,400 Dolores Dr NW SteA,Albuquerque,87105,Recreational & Medical
R Greenleaf Organics - Yale,110 Yale Blvd SE,Albuquerque,87106,Recreational & Medical
R Greenleaf Organics - Midtown,Central Ave,Albuquerque,87110,Recreational & Medical
R Greenleaf Organics - Las Cruces,775 S Telshor Blvd,Las Cruces,88011,Recreational & Medical
R Greenleaf Organics - Las Vegas,615 E Lincoln St,Las Vegas,87701,Recreational & Medical
R Greenleaf Organics - Santa Fe,403 W Cordova Rd,Santa Fe,87505,Recreational & Medical
R Greenleaf Organics - Alamogordo,101 North White Sands Blvd,Alamogordo,88310,Recreational & Medical
R Greenleaf Organics - Hobbs,1901 Joe Harvey Blvd,Hobbs,88240,Recreational & Medical
R Greenleaf Organics - Roswell,Near Roswell Mall off Highway 285,Roswell,88201,Recreational & Medical
R Greenleaf Organics - Clovis,North Prince Street,Clovis,88101,Recreational & Medical
R Greenleaf Organics - Bernalillo,115 US-550,Bernalillo,87004,Recreational & Medical
Sandia Botanicals - Albuquerque,2406 Comanche Rd NE,Albuquerque,87107,Recreational & Medical
Sandia Botanicals - Las Cruces,2517 N Main St,Las Cruces,88001,Recreational & Medical
Ultra Health - Albuquerque NE,1907 St Michael's Drive Ste F,Albuquerque,87505,Recreational & Medical
Ultra Health - Albuquerque South Valley,100 Coors Blvd NW Suite 108 & 109,Albuquerque,87121,Recreational & Medical
Ultra Health - Rio Rancho,3851 Southern Blvd SE,Rio Rancho,87124,Recreational & Medical
Ultra Health - Santa Fe,1907 St Michael's Drive Ste F,Santa Fe,87505,Recreational & Medical
Ultra Health - Portales,1012 West 2nd Street,Portales,88130,Recreational & Medical
Ultra Health - Alamogordo,300 N White Sands Blvd,Alamogordo,88310,Recreational & Medical
Ultra Health - Bernalillo,US-550,Bernalillo,87004,Recreational & Medical
Ultra Health - Carlsbad,Canal Street,Carlsbad,88220,Recreational & Medical
Ultra Health - Clayton,Main Street,Clayton,88415,Recreational & Medical
Ultra Health - Clovis,North Prince Street,Clovis,88101,Recreational & Medical
Ultra Health - Deming,Columbus Road,Deming,88030,Recreational & Medical
Ultra Health - Eagle Nest,Main Street,Eagle Nest,87718,Recreational & Medical
Ultra Health - Edgewood,Old Route 66,Edgewood,87015,Recreational & Medical
Ultra Health - Espanola,Riverside Drive,Espanola,87532,Recreational & Medical
Ultra Health - Gallup,East Highway 66,Gallup,87301,Recreational & Medical
Ultra Health - Hobbs,North Grimes Street,Hobbs,88240,Recreational & Medical
Ultra Health - Las Cruces,1600 S Valley Dr Ste D,Las Cruces,88001,Recreational & Medical
