Dispensary Name,Address,City,Zip Code,Type
Nectar - 122nd and Division,2367 SE 122nd Ave,Portland,97233,Recreational/Medical
Nectar - 122nd and Holladay,1019 NE 122nd Ave,Portland,97230,Recreational/Medical
Nectar - 22nd & Division,2123 SE Division St,Portland,97214,Recreational/Medical
Nectar - Barbur,10931 SW 53rd Ave,Portland,97219,Recreational/Medical
Nectar - Allen Blvd,14195 SW Allen Blvd,Beaverton,97005,Recreational/Medical
Nectar - Hall,8705 SW Hall Blvd,Beaverton,97008,Recreational/Medical
Nectar - Hillsdale,10477 SW Beaverton Hillsdale Hwy,Beaverton,97005,Recreational/Medical
Nectar - Regatta,15930 SW Regatta Ln,Beaverton,97006,Recreational/Medical
Nectar - Aloha,20595 SW Tualatin Valley Hwy,Beaverton,97006,Recreational/Medical
Nectar - Ashland,488 N Main Street,Ashland,97520,Recreational/Medical
Nectar - Eugene 6th,698 W 6th Ave,Eugene,97402,Recreational/Medical
Nectar - Salem Commercial,3514 Commercial St SE,Salem,97302,Recreational/Medical
Nectar - Medford,Medford,,,Recreational/Medical
Nectar - Grants Pass,Grants Pass,,,Recreational/Medical
Nectar - Gresham Burnside,Gresham,,,Recreational/Medical
Nectar - Gresham Halsey,Gresham,,,Recreational/Medical
Nectar - Gresham 3rd,Gresham,,,Recreational/Medical
Nectar - Gresham 162nd Ave,Gresham,,,Recreational/Medical
Nectar - Happy Valley,Happy Valley,,,Recreational/Medical
Nectar - Hillsboro,Hillsboro,,,Recreational/Medical
Nectar - Milwaukie Harmony,Milwaukie,,,Recreational/Medical
Nectar - Milwaukie McLoughlin,Milwaukie,,,Recreational/Medical
Nectar - Springfield,Springfield,,,Recreational/Medical
Nectar - Tillamook,Tillamook,,,Recreational/Medical
Floyd's Fine Cannabis on Broadway,801 NE Broadway St,Portland,97232,Recreational
Floyd's Fine Cannabis on 28th,5217 SE 28th Ave,Portland,97202,Recreational
Floyd's Fine Cannabis on Sandy,5944 NE Sandy Blvd,Portland,97213,Recreational
Floyd's Fine Cannabis on Columbia,1602 N Columbia Blvd,Portland,97217,Recreational
Floyd's Fine Cannabis Slabtown,2515 NW Nicolai,Portland,97210,Recreational
Floyd's Fine Cannabis Division,10561 SE Division St,Portland,97266,Recreational
Electric Lettuce - Weidler,Portland,,,Recreational
Electric Lettuce - Alberta,Portland,,,Recreational
Electric Lettuce - Sandy,Sandy,,,Recreational
Electric Lettuce - Old Town,214 NW Couch St,Portland,97209,Recreational
Electric Lettuce - Oregon City,1279 Molalla Ave,Oregon City,97045,Recreational
Electric Lettuce - Eugene,Eugene,,,Recreational
Serra Belmont,2519 SE Belmont St,Portland,97214,Recreational
Serra Downtown,220 SW 1st Ave,Portland,97204,Recreational
Chalice Farms - Downtown Portland,823 SW Naito Pkwy,Portland,97204,Recreational
Chalice Farms - Powell,5333 SE Powell Blvd,Portland,97206,Recreational
Chalice Farms - PDX Airport,13315 NE Airport Way #700,Portland,97230,Recreational
Chalice Farms - Tigard,16735 SW Pacific Hwy,Portland,97224,Recreational
Chalice Cannabis - West Salem,1077 Edgewater St NW,Salem,97304,Recreational
Bridge City Collective - North Portland,4312 N Williams Ave,Portland,,Recreational
Bridge City Collective - Southeast Portland,215 SE Grand Ave,Portland,97214,Recreational
Oregrown - Bend,1199 NW Wall St,Bend,97701,Recreational
Oregrown - Portland,111 NE 12th Ave,Portland,97232,Recreational
Oregrown - Cannon Beach,215 N Hemlock,Cannon Beach,97110,Recreational
Oregrown - Eugene,211 West 6th Ave,Eugene,97401,Recreational
La Mota - Southeast Portland,7435 SE 52nd Ave,Portland,97206,Recreational/Medical
La Mota - Northeast Portland,Portland,,,Recreational/Medical
La Mota - North Portland,Portland,,,Recreational/Medical
La Mota - Salem,3297 Portland Rd NE,Salem,97301,Recreational/Medical
La Mota - Eugene,Eugene,,,Recreational/Medical
La Mota - Drain,Drain,,,Recreational/Medical
La Mota - Sweet Home,Sweet Home,,,Recreational/Medical
La Mota - Lebanon,Lebanon,,,Recreational/Medical
Substance Market - South Highway 97,61406 S Highway 97,Bend,97702,Recreational/Medical
Substance Market - Division Street,1814 NE Division St,Bend,97701,Recreational/Medical
Substance Market - Empire Avenue,20365 NE Empire Avenue,Bend,97703,Recreational/Medical
Substance Market - Cottage Grove,Cottage Grove,,,Recreational/Medical
Substance Market - Springfield,Springfield,,,Recreational/Medical
Substance Market - Medford,Medford,,,Recreational/Medical
Substance Market - Gold Hill,Gold Hill,,,Recreational/Medical
Substance Market - Ashland,Ashland,,,Recreational/Medical
Cannabis Nation - Beaverton,15915 NW Schendel Ave #104,Beaverton,97006,Recreational
Cannabis Nation - Gresham,1500 NE Division St,Gresham,97030,Recreational
Cannabis Nation - Oregon City,1128 Main St,Oregon City,97045,Recreational
Cannabis Nation - Sunriver,56789 Lunar Drive,Bend,97707,Recreational
Cannabis Nation - Seaside,Seaside,,,Recreational
Lucky Lion - Eugene,2164 W 7th Ave,Eugene,97402,Recreational
Lucky Lion - NE Halsey,7817 NE Halsey St,Portland,97213,Recreational
