Dispensary Name,Address,City,Zip Code,Type
Mountain Girl Cannabis,174 West St,Rutland,05701,Recreational
Flora Cannabis,2 Park St,Middlebury,05753,Recreational
Ceres Collaborative,2 Green Tree Dr,South Burlington,05403,Medical
Ceres Collaborative,190 College St,Burlington,05401,Recreational (Closing)
Green State Dispensary,699 Pine St Suite C,Burlington,05401,Recreational
Bern Gallery,135 Main St Ste 101,Burlington,05401,Recreational
Garcia's Cannabis Collective,97 Church St,Burlington,05401,Recreational
Heybud Dispensary,291 Saint Paul St,Burlington,05401,Recreational
Grass Queen,71 S Union St,Burlington,05401,Recreational (Closed)
Green Leaf Central,30 Thorsen Way,Burlington,05401,Recreational
Float On Dispensary,136 1/2 Church St,Burlington,05401,Recreational
Lucky You,163 Cherry St,Burlington,05401,Recreational
Euphoria Cannabis,276 North Ave,Burlington,05401,Recreational
VT Bud Barn,257 Marlboro Rd Suite 101,Brattleboro,05301,Recreational
Cannabis Maximus,725 Putney Rd Suite 2,Brattleboro,05301,Recreational
Southern Vermont Wellness,1222 Putney Rd Suite 106A,Brattleboro,05301,Medical
Five Seasons Cannabis Co,52 Bridge St,White River Junction,05001,Recreational
The Tea House,50 Woodstock Rd,White River Junction,05001,Recreational
Capital Cannabis Company,44 Main St,Montpelier,05602,Recreational
Gram Central,120 River St,Montpelier,05602,Recreational
Juana's Garden Cannabis Boutique,188 River St,Montpelier,05602,Recreational
Northeast Kannabis,166 Railroad St,St Johnsbury,05819,Recreational
Kushies,4267 US Route 5,Derby,05829,Recreational
Kingdom Boyz,3731 US Route 5,Derby,05829,Recreational
The High Country,5134 US Route 5,Derby,05829,Recreational
Valley Meade Dispensary,8 Vermont Highway 17,Waitsfield,05673,Recreational
Blue Sage,5121 Main St,Waitsfield,05673,Recreational
Zenbarn Farms,1930 Waterbury-Stowe Rd,Waterbury Center,05677,Recreational
31 North,2653 Waterbury-Stowe Rd,Waterbury Center,05677,Recreational
Vermont GoodFire Cannabis,3627 Waterbury-Stowe Rd,Waterbury Center,05677,Recreational
Silver Therapeutics,201 Northside Dr,Bennington,05201,Recreational
Juniper Lane,445 Main St,Bennington,05201,Recreational
Hello Hi,46 Main St Suite 102,Winooski,05404,Recreational/Medical
Winooski Organics,165 E Allen St,Winooski,05404,Recreational
Dome City Dispensary,147 E Allen St,Winooski,05404,Recreational
Magic Mann,21 Essex Way Suite 216,Essex Junction,05452,Recreational/Medical
The High Bar,159 Pearl St Suite 8,Essex Junction,05452,Recreational
Sweetspot,139 Pearl St,Essex Junction,05452,Recreational
The Herbal Collective,1641 Route 7,Middlebury,05753,Recreational
Emeraldrose Grows,11 Main St,Bristol,05443,Recreational
Forbins Reserve,21 Metro Way Unit 8,Barre,05641,Recreational
Dames Cannabis,240 North Main St,Barre,05641,Recreational
VT Strong,69 S Main St,Barre,05641,Recreational
Somewhere on the Mountain,158 N Main St,Rutland,05701,Recreational
b\well,91 US RT 7 South,Rutland,05701,Recreational
Grassroots Vermont,84 Lovers Ln,Brandon,05733,Medical
The Bud Stop,1513 Route 2,Danville,05828,Recreational
Kingdom Kind,290 Glover Rd,Barton,05822,Recreational/Medical
Higher Elevation,65 Northgate Ave Suite 6,Morrisville,05661,Recreational
Craft Cannabis Co.,46 Hutchins St Suite 2,Morrisville,05661,Recreational
Best Buds Cannabis Dispensary,76 Stafford Ave,Morrisville,05661,Recreational
Cambridge Cannabis Company,185 Church St,Cambridge,05464,Recreational
Green Mountain Cannabis Works,4542 Main St,Manchester,05255,Recreational
Cloud Nine Cannabis,87 Main St,Fair Haven,05743,Recreational
TMM Dispensary,35A Chester Rd,Springfield,05156,Recreational
Rolling Twenties,440 Rockingham Rd,Bellows Falls,05101,Recreational
Champlain Valley Dispensary,2 Green Tree Dr,South Burlington,05403,Medical
MothaPlant,319 Swanton Rd,Saint Albans City,05478,Recreational
Mary Jane Junction,120 Swanton Rd,Saint Albans City,05478,Recreational
Elevated State VT,407 Mountain Rd,Stowe,05672,Recreational/CBD
