Dispensary Name,Address,City,Zip Code,Type
All Da Buzz,3232 Georgia Ave NW,Washington,20010,Medical
All Vybez DC,3011 Georgia Avenue NW,Washington,20010,Medical
Aligned,3715 Macomb Street NW,Washington,20016,Medical
Anacostia Organics,2022 Martin Luther King Jr Ave SE,Washington,20020,Medical
Apple Dream Shop,3106 Mount Pleasant Street NW,Washington,20010,Medical
Bloom @ North,827 Upshur St NW,Washington,20011,Medical
Bloom @ North 2,5425 Georgia Ave NW,Washington,20011,Medical
Bluntsluts Cannabis Club,2451 18th Street NW,Washington,20009,Medical
Bud Love,1221 Pennsylvania Avenue SE,Washington,20003,Medical
Cannabliss,4721 Sheriff Rd NE,Washington,20019,Medical
Capital City Care,1115 U Street NW,Washington,20009,Medical
Chillville Wellness,2113 Rhode Island Avenue NE,Washington,20018,Medical
Cloud 9,1703 North Capitol Street NE,Washington,20002,Medical
Cookies DC,1115 U Street NW,Washington,20009,Medical
CREEP Cannabis Co.,2924 Minnesota Ave SE,Washington,20019,Medical
District Cannabis,513 Morse Street NE,Washington,20002,Medical
District Cure Dispensary,2626 Georgia Avenue NW,Washington,20001,Medical
Doobie District,1526 U Street NW,Washington,20009,Medical/I-71
EZ Gifting DC,2400 6th St NW,Washington,20059,I-71 Gifting
Firehouse DC,912 U Street NW,Washington,20001,Medical
Flower Patch,2116 18th Street NW,Washington,20009,Medical
Gasaholics,1230 H Street NE,Washington,20002,Medical
Gifted Curators,2469 18th St NW,Washington,20009,I-71 Gifting
Granny Za's,1383-1385 H Street NE,Washington,20002,Medical
Green Label,3401 14th Street NW,Washington,20010,Medical
Green Legacy,4630 14th St NW,Washington,20011,Medical
Green Life DMV,7329 Georgia Avenue NW,Washington,20012,Medical
Green Theory,4828 MacArthur Boulevard NW,Washington,20007,Medical
Greenways Dispensary,3617 14th Street NW,Washington,20010,Medical
Heady Club,1648 Columbia Road NW,Washington,20009,I-71 Gifting
Herbal Alternatives,1710 Rhode Island Avenue NW,Washington,20036,Medical
High Demand,511 11th Street SE,Washington,20003,Medical
KINFOLK Dispensary,433 Massachusetts Avenue NW,Washington,20001,Medical
Lit City Smoke Shop,1426 Park Rd NW,Washington,20010,I-71 Gifting
Luxury Soil,775 H Street NE,Washington,20002,Medical
Lyfted Essentials,2220 14th Street NW,Washington,20009,Medical
MetroLeaf,3919 14th Street NW,Washington,20011,Medical
Miel Wellness,727 8th Street SE,Washington,20003,Medical
Mirage,1278 5th Street NE,Washington,20002,Medical
Monko,444 K St NW,Washington,20001,Medical
Mr. Green,4302 Connecticut Ave NW,Washington,20008,Medical
Mr. Nice Guys,1515 15th Street NW,Washington,20005,Medical/I-71
National Holistic Healing Center,1636 Connecticut Avenue NW,Washington,20009,Medical
New Leaf Smoke Shop,416 H Street NE,Washington,20002,Medical
No Kids Allowed,637 Pennsylvania Avenue SE,Washington,20003,Medical
Our Spot Dispensary,5320 Georgia Avenue NW,Washington,20011,Medical
Royal Tobacco,2604 Connecticut Avenue NW,Washington,20008,Medical
Smoke & Tingz,3622 Georgia Avenue NW,Washington,20010,Medical
Spliff Nation,70 District Square SW,Washington,20024,Medical/I-71
Street Lawyer Services,409 H St NE,Washington,20002,I-71 Gifting
Takoma Wellness,6925 Blair Road NW,Washington,20012,Medical
The Box,2015 14th Street NW,Washington,20009,Medical
The Crank Corner,1915 7th Street NW,Washington,20001,Medical
Trippy Wizard,1755 S St NW,Washington,20009,I-71 Gifting
Wash Hydro,2318 18th Street NW,Washington,20009,Medical
Washington Dabbers Club,4631 41st St NW,Washington,20011,Medical/I-71
WVC Wellness,1412 9th Street NW,Washington,20001,Medical
Yana Wellness Center,2026 P St NW,Washington,20036,Medical
Yemaya's Lounge,3919 Georgia Avenue NW,Washington,20011,Medical
Athena's Gifts,Delivery Service,Washington,N/A,I-71 Delivery
Compound DC,Delivery Service,Washington,N/A,I-71 Delivery
DC Finest,Delivery Service,Washington,N/A,I-71 Delivery
Giving Tree DC,Delivery Service,Washington,N/A,I-71 Delivery
Juice'd DC,Delivery Service,Washington,N/A,I-71 Delivery
Legacy DC,Delivery Service,Washington,N/A,I-71 Delivery
The DC Dispensary,Delivery Service,Washington,N/A,I-71 Delivery
The Gift Givers DC,Delivery Service,Washington,N/A,I-71 Delivery
Wishing Wellness DC,Delivery Service,Washington,N/A,I-71 Delivery
