Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
bamboo rolling trays wholesale,1,1,1300,0,0.00,https://munchmakers.com/product/custom-wooden-rolling-tray,322,10.64,0.00,0,3040000,"[65,82,0,0,0,100]",2025-10-09,"Image, Related searches",commercial,Organic
munchmakers,1,1,140,33,0.00,https://munchmakers.com/,112,3.7,0.00,0,5,"[17,17,12,23,17,17,17,12,100,82,100,35]",2025-11-18,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",,Organic
custom grinders,1,1,390,1,4.51,https://munchmakers.com/,96,3.17,432.00,0.02,11000000,"[30,24,30,30,55,55,24,20,24,45,24,30]",2025-09-07,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
munchmakers shop,1,1,90,18,0.00,https://www.munchmakers.com/shop/,72,2.38,0.00,0,68700,"[45,81,100,100]",2025-10-25,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
munch makers,1,1,70,21,0.00,https://munchmakers.com/,56,1.85,0.00,0,65,"[23,14,14,23,14,19,23,23,23,19,100,33]",2025-09-09,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
munchmakers grinders,1,1,50,24,0.00,https://munchmakers.com/product-category/standard-grinders/,40,1.32,0.00,0,38,"[57,100]",2025-08-19,"Image pack, Sitelinks, Image, People also ask",informational,Organic
custom herb grinders,2,2,260,7,4.51,https://munchmakers.com/,34,1.12,153.00,0.02,646000,"[44,44,28,44,35,81,35,44,44,44,66,35]",2025-09-06,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
vape pens munchmakers,1,1,40,16,0.00,https://munchmakers.com/product-category/custom-vape-pen/,32,1.05,0.00,0,20,"[14,100]",2025-09-04,"Image pack, Image, People also ask, Related searches",informational,Organic
biggest weed grinder,2,2,480,4,0.56,https://munchmakers.com/product/custom-big-grinder,31,1.02,17.00,0.47,1010000,"[100,36,23,44,36,67,67,44,36,19,100,44]",2025-09-11,"Image pack, Image, People also ask, Related searches, AI overview",commercial,Organic
grinder with kief catcher,5,5,720,32,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,31,1.02,0.00,0,81,"[76,36,67,55,67,100,67,67,55,55,45,45]",2025-09-10,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches",commercial,Organic
