Dispensary Name,Address,City,Zip Code,Type
Field Supply Cannabis & Provisions,4543 Kirkwood Highway,Wilmington,19808,Medical & Recreational
Columbia Care Delaware - Wilmington,5606 Concord Pike,Wilmington,19803,Medical & Recreational
First State Compassion (Thrive),37 Germay Drive,Wilmington,19804,Medical & Recreational
The Farm - New Castle,240 S Dupont Highway,New Castle,19720,Medical & Recreational
Fresh Cannabis - Newark,800 Ogletown Road,Newark,19711,Medical & Recreational
Columbia Care Delaware - Smyrna,200 S DuPont Boulevard,Smyrna,19977,Medical & Recreational
The Farm - Felton,105 Irish Hill Road,Felton,19943,Medical & Recreational
Best Buds - Dover,516 Jefferic Boulevard,Dover,19901,Medical & Recreational
Columbia Care Delaware - Rehoboth Beach,36725 Bayside Outlet Drive Suite 760,Rehoboth Beach,19971,Medical & Recreational
The Farm - Frankford,34164 Dupont Boulevard,Frankford,19945,Medical & Recreational
Best Buds - Georgetown,23 Georgetown Plaza,Georgetown,19947,Medical & Recreational
First State Compassion (Thrive) - Lewes,12000 Old Vine Boulevard Unit 102,Lewes,19958,Medical & Recreational
Fresh Cannabis - Milford,635 North Dupont Boulevard,Milford,19963,Medical Only
Fresh Cannabis - Seaford,22982 Sussex Highway,Seaford,19973,Medical Only
