Dispensary Name,Address,City,Zip Code,Type
SeaWeed Co.,23 Marginal Way,Portland,04101,Recreational
Fire on Fore,367 Fore St,Portland,04101,Recreational
Meowy Jane,3 Market St,Portland,04101,Recreational
Local Leaf,1397 Washington Ave,Portland,04103,Recreational
Sweet Dirt,1207 Forest Ave,Portland,04103,Recreational
Rose Mary Jane,327 St John St,Portland,04102,Recreational
SeaWeed Co.,185 Running Hill Road,South Portland,04106,Recreational
Theory Wellness,198 Maine Mall Road Suite 100,South Portland,04106,Recreational
Curaleaf,343 Gorham Road,South Portland,04106,Recreational
HIGHLY South Portland,185 Running Hill Road,South Portland,04106,Recreational
Blossom Cannabis,225 Waterman Drive,South Portland,04106,Medical
Beach Boys Cannabis Co.,225 Waterman Drive,South Portland,04106,Medical
HighNorth by Wellness Connection,29 Western Ave,South Portland,04106,Recreational
Elevate Maine,185 Running Hill Road,South Portland,04106,Medical
JAR Cannabis Co.,11 Storm Dr,Windham,04062,Recreational
Full Bloom Cannabis,839 Roosevelt Trail,Windham,04062,Recreational
Full Bloom Cannabis,8 Crimson Drive Suite 3,Windham,04062,Recreational
CannaRx,Roosevelt Trail,Windham,04062,Recreational
Paul's Boutique,Roosevelt Trail,Windham,04062,Recreational
Sticky Bud Farms,Roosevelt Trail,Windham,04062,Recreational
Maine's Alternative Caring,Roosevelt Trail,Windham,04062,Medical
Theory Wellness,8 Dexter Lane,Kittery,03904,Recreational
Green Truck Farms,89 Route 236,Kittery,03904,Recreational
Your Green Thumb Caregivers,Dexter Lane,Kittery,03904,Medical
Marks Organix,Route 236,Kittery,03904,Medical
Tops Farm,Main Street,York,03909,Medical
Beach Boys Cannabis Co.,11 Ocean Park Road,Old Orchard Beach,04064,Recreational
Cannabis Cured,Industrial Park Road,Saco,04072,Medical
Blossom Cannabis,22 Industrial Park Road,Saco,04072,Medical
Canuvo,Main Street,Biddeford,04005,Recreational
Theory Wellness,152 Western Ave Suite 7,Augusta,04330,Recreational
Cannabis Haven,265 Western Ave,Augusta,04330,Recreational
Cannabis Haven,269 Western Ave,Augusta,04330,Medical
ORIGINs Cannabis Co.,Western Ave,Augusta,04330,Both
Cannamax,Western Ave,Augusta,04330,Medical
KannaKraft,80 Bangor St,Augusta,04330,Medical
Homegrown of Augusta,Bangor St,Augusta,04330,Medical
Earthly Delights of Maine,Western Ave,Augusta,04330,Both
Wayne's Weeds,Western Ave,Augusta,04330,Recreational
The Frost Factory,Main Street,Hallowell,04347,Recreational
Theory Wellness,1172 Hammond Street Suite 1,Bangor,04401,Recreational
Firestorm Premium Craft Cannabis,Hammond Street,Bangor,04401,Recreational
Vibes Cannabis Co.,Hogan Road,Bangor,04401,Recreational
FOG Products,Hammond Street,Bangor,04401,Recreational
East Coast Gold Store,Hammond Street,Bangor,04401,Recreational
Riverbank Medical,Hammond Street,Bangor,04401,Medical
Cannabis Cured,Hammond Street,Bangor,04401,Medical
Pho King Great Cannabis,Hammond Street,Bangor,04401,Recreational
Brothers Cannabis,Hammond Street,Bangor,04401,Recreational
American ReLeaf Bangor,185 Longview Dr,Bangor,04401,Recreational
HIGHLY Cannaco,790 Sabattus St,Lewiston,04240,Recreational
Cannabis Haven,806 Sabattus Street,Lewiston,04240,Recreational
Crystal Spring Healing Alternatives,Sabattus Street,Lewiston,04240,Medical
Northern Maine Flower,Main Street,Lewiston,04240,Medical
Cloud 9,Sabattus Street,Lewiston,04240,Medical
Star City Wellness,Sabattus Street,Lewiston,04240,Medical
Cannabis Haven,20 Union Street,Auburn,04210,Medical
HighNorth Mystique of Maine,375 Center Street,Auburn,04210,Recreational
Full Bloom Cannabis,Center Street,Auburn,04210,Recreational
HIGHLY Cannaco,628 Turner St,Auburn,04210,Recreational
Full Bloom Cannabis,132 Church Road,Brunswick,04011,Recreational
Stone Coast Botanicals,220 Bath Road,Brunswick,04011,Medical
River Driver Cannabis Co.,132 Church St,Brunswick,04011,Recreational
HIGHLY Cannaco,Church Road,Brunswick,04011,Recreational
Full Bloom Cannabis,475 Kennedy Memorial Dr,Waterville,04901,Recreational
