Dispensary Name,Address,City,Zip Code,Type
Columbia Care,4609 Willow Lane,Chevy Chase,20815,Medical & Recreational
GreenLabs,1522 Eastern Ave,Baltimore,21231,Medical & Recreational
Wellness Institute of Maryland,4606 Wedgewood Blvd,Frederick,21703,Medical & Recreational
GreenLeaf,808 Hungerford Dr,Rockville,20850,Medical & Recreational
ZenLeaf Towson,101 E. Chesapeake Ave Suite 102,Towson,21286,Medical & Recreational
Kip,9 Cranbrook Rd,Cockeysville,21030,Medical & Recreational
Peninsula Alternative Health,12355 Georgia Avenue,Silver Spring,20906,Medical & Recreational
Positive Energy,9939 Jerry Mack Rd Suite 500,Ocean City,21842,Medical & Recreational
Remedy Columbia,8865 Stanford Blvd Suite 131,Columbia,21045,Medical & Recreational
Revolution,9994 Washington Blvd North,Laurel,20723,Medical & Recreational
StarBuds Baltimore,5975 Belair Road,Baltimore,21206,Medical & Recreational
StoreHouse,5730 Falls Rd,Baltimore,21209,Medical & Recreational
SweetSpot,18070 Georgia Ave,Olney,20832,Medical & Recreational
Wright Wellness Group,4201 Northview Dr Suite 100,Bowie,20716,Medical & Recreational
Green House,4801 Dorsey Hall Dr Suite 110,Ellicott City,21042,Medical & Recreational
Peak Releaf,2001 Chapman Ave,Rockville,20852,Medical & Recreational
Blair Wellness,5806 York Rd,Baltimore,21212,Medical & Recreational
Blue Ridge Wellness,9413 Harford Rd,Parkville,21234,Medical & Recreational
SoMD Relief,28105 Three Notch Rd,Mechanicsville,20659,Medical & Recreational
HerbaFi,8413 Ramsey Ave,Silver Spring,20910,Medical & Recreational
Kannavis,8709 Fingerboard Rd,Frederick,21702,Medical & Recreational
NCW,4925 Pulaski Hwy Suite A,Perryville,21903,Medical & Recreational
Verilife Westminster,700-K Corporate Center Ct,Westminster,21157,Medical & Recreational
Liberty Cannabis Rockville,12001 Nebel St,Rockville,20852,Medical & Recreational
Verilife New Market,11717 Old National Pike,New Market,21774,Medical & Recreational
Apothecary,1096 W. Industrial Blvd,Cumberland,21502,Medical & Recreational
Trilogy,9291 Baltimore National Pike,Ellicott City,21042,Medical & Recreational
Culta Baltimore,215 Key Highway,Baltimore,21230,Medical & Recreational
Chesacanna,10534 York Rd,Cockeysville,21030,Medical & Recreational
Haven,7501 Clymer Dr,Brandywine,20619,Medical & Recreational
Potomac Holistics,14808 Physicians Ln Suite 212,Rockville,20850,Medical & Recreational
Rise Silver Spring,1571 Wesel Blvd,Silver Spring,20910,Medical & Recreational
Zen Leaf Germantown,13007 Wisteria Dr Unit 28-29,Germantown,20874,Medical & Recreational
Bloom Medicinals Germantown,11530 Middlebrook Road,Germantown,20876,Medical & Recreational
Rise Hagerstown,1571 Wesel Blvd,Hagerstown,21740,Medical & Recreational
The Apothecarium Salisbury,1003 Mt. Hermon Rd,Salisbury,21804,Medical & Recreational
Story Of Maryland Waldorf,2290 Old Washington Road Suite 12383,Waldorf,20601,Medical & Recreational
Zen Leaf Elkridge,6000 Marshalee Dr,Elkridge,21075,Medical & Recreational
Zen Leaf Pasadena,16 Magothy Beach Rd,Pasadena,21122,Medical & Recreational
Zen Leaf Jessup,7221 Montevideo Road Suite 150,Jessup,20794,Medical & Recreational
Remedy Columbia,6656 Dobbin Road Suite E,Columbia,21045,Medical & Recreational
Trulieve Rockville,12200-B Rockville Pike,Rockville,20852,Medical & Recreational
Curaleaf Gaithersburg,10011 Stedwick Road,Gaithersburg,20886,Medical & Recreational
Verilife Rockville,5544 Nicholson Lane,Rockville,20852,Medical & Recreational
Herbology Gaithersburg,106 N. Frederick Avenue,Gaithersburg,20877,Medical & Recreational
Mission Glenmont,12355 Georgia Avenue,Silver Spring,20906,Medical & Recreational
Culta Columbia,6695 Dobbin Rd,Columbia,21045,Medical & Recreational
Ascend Laurel,14703 Baltimore Avenue,Laurel,20707,Medical & Recreational
Ascend Aberdeen,226 South Philadelphia Ave,Aberdeen,21001,Medical & Recreational
The Apothecarium Cumberland,100 Beall Street,Cumberland,21502,Medical & Recreational
Storehouse Cannabis Baltimore,5730 Falls Road,Baltimore,21209,Medical & Recreational
Story Cannabis Co Laurel,116 Washington Blvd South,Laurel,20707,Medical & Recreational
CULTA Urbana,3550 Worthington Blvd,Urbana,21704,Medical & Recreational
Natures Medicines Ellicott City,10169 Baltimore National Pike,Ellicott City,21042,Medical & Recreational
Natures Medicines Crofton,1657 Crofton Blvd,Crofton,21114,Medical & Recreational
Ethos Catonsville,6328 Baltimore National Pike,Catonsville,21228,Medical & Recreational
Green Goods Dundalk,717 North Point Blvd,Baltimore,21224,Medical & Recreational
The Dispensary Westminster,330 Village Rd,Westminster,21157,Medical & Recreational
Greenlight Therapeutics,782 State Route 3 N Suite A,Gambrills,21054,Medical & Recreational
Mana Supply Edgewater,3005 Solomon's Island Rd,Edgewater,21037,Medical & Recreational
Far & Dotter,2060-A York Road,Timonium,21093,Medical & Recreational
Releaf Shop,1114 Cathedral St Suite 5,Baltimore,21201,Medical & Recreational
Green Goods Hampden,3907 Falls Rd,Baltimore,21211,Medical & Recreational
Green Goods Layhill,14348 Layhill Road,Silver Spring,20906,Medical & Recreational
