Dispensary Name,Address,City,Zip Code,Type
NETA Northampton,118 Conz St,Northampton,01060,Medical & Recreational
NETA Brookline,160 Washington St,Brookline,02445,Medical & Recreational
NETA Franklin,162 Grove St,Franklin,02038,Medical & Recreational
Curaleaf Oxford,502 Main St,Oxford,01540,Medical & Recreational
Curaleaf Hanover,2001 Washington St Unit B,Hanover,02339,Medical
Curaleaf Ware,124 W St,Ware,01082,Recreational
Curaleaf Provincetown,170 Commercial St,Provincetown,02657,Recreational
Theory Wellness Great Barrington,394 Stockbridge Rd,Great Barrington,01230,Medical & Recreational
Theory Wellness Bridgewater,1050 Elm St,Bridgewater,02324,Medical
Theory Wellness Medford,162 Mystic Ave,Medford,02155,Recreational
Theory Wellness Chicopee,413 Memorial Dr,Chicopee,01020,Medical & Recreational
Sunnyside Leicester,1764 Main St,Leicester,01524,Medical & Recreational
Mission Worcester,640 Lincoln St,Worcester,01605,Medical & Recreational
Mission Georgetown,11 Industrial Way,Georgetown,01833,Medical & Recreational
Berkshire Roots Pittsfield,501 Dalton Ave,Pittsfield,01201,Medical & Recreational
Berkshire Roots Boston,253 Meridian St,Boston,02128,Medical & Recreational
Sira Naturals Somerville,240 Elm St,Somerville,02144,Medical & Recreational
Sira Naturals Boston,827 Boylston St,Boston,02116,Medical & Recreational
Sira Naturals Watertown,48 North Beacon St,Watertown,02472,Medical & Recreational
CommCan Millis,1525 Main St,Millis,02054,Medical & Recreational
CommCan Rehoboth,150 Barney Ave,Rehoboth,02769,Medical & Recreational
CommCan Mansfield,611 West St,Mansfield,02048,Medical & Recreational
Temescal Wellness Hudson,252 Coolidge St,Hudson,01749,Medical & Recreational
Temescal Wellness Framingham,665 Cochituate Rd Suite B,Framingham,01701,Medical & Recreational
Temescal Wellness Pittsfield,10 Callahan Dr,Pittsfield,01201,Medical & Recreational
Garden Remedies Melrose,732 Newburyport Turnpike,Melrose,02176,Medical & Recreational
Garden Remedies Newton,697 Washington St,Newton,02458,Medical & Recreational
Garden Remedies Marlborough,416 Boston Post Rd E,Marlborough,01752,Medical & Recreational
Revolutionary Clinics Somerville,67 Broadway,Somerville,02145,Medical & Recreational
Revolutionary Clinics Cambridge,110 Fawcett St,Cambridge,02138,Medical
Revolutionary Clinics Leominster,130 Pioneer Dr,Leominster,01453,Medical & Recreational
Cannabist Boston,21 Milk St,Boston,02109,Medical & Recreational
Cannabist Greenfield,7 Legion Ave,Greenfield,01301,Medical & Recreational
Cannabist Lowell,70 Industrial Ave E,Lowell,01852,Medical & Recreational
INSA Avon,20 Stockwell Dr,Avon,02322,Medical
INSA Easthampton,122 Pleasant St Suite 144,Easthampton,01027,Medical & Recreational
INSA Salem,462 Highland Ave,Salem,01970,Medical & Recreational
INSA Springfield,1169 Main St,Springfield,01103,Medical & Recreational
Good Chemistry Worcester,9 Harrison St,Worcester,01604,Medical & Recreational
Good Chemistry Lynn,696 Western Ave,Lynn,01905,Medical & Recreational
Affinity West Springfield,175 Circuit Ave,West Springfield,01089,Medical & Recreational
Affinity Boston,591 Albany St,Boston,02118,Medical & Recreational
Mayflower Boston,230 Harvard Ave,Boston,02134,Medical & Recreational
Mayflower Lowell,450 Chelmsford St Unit 7,Lowell,01851,Medical & Recreational
Mayflower Worcester,645 Park Ave,Worcester,01603,Medical & Recreational
Resinate Worcester,1191 Millbury St,Worcester,01607,Recreational
Resinate Northampton,235 Main St,Northampton,01060,Recreational
Diem Worcester,74 Grafton St,Worcester,01604,Recreational
Diem Lynn,280 Lynnway,Lynn,01901,Recreational
Eskar Northbridge,400 Commerce Dr,Northbridge,01534,Recreational
Eskar Arlington,21 Broadway,Arlington,02474,Recreational
Smyth Cannabis Framingham,85 Worcester Rd,Framingham,01702,Recreational
Smyth Cannabis Lowell,683 Rogers St,Lowell,01852,Recreational
Smyth Cannabis Tewksbury,1888 Main St,Tewksbury,01876,Recreational
Canna Provisions Lee,220 Housatonic St,Lee,01238,Medical & Recreational
Canna Provisions Holyoke,380 Dwight St,Holyoke,01040,Medical & Recreational
Sanctuary Medicinals Danvers,2 Electronics Ave,Danvers,01923,Medical & Recreational
Sanctuary Medicinals Woburn,130 Commerce Way Suite 1,Woburn,01801,Medical & Recreational
Sanctuary Medicinals Gardner,16 W Broadway,Gardner,01440,Medical
AMP Salem,297 Highland Ave,Salem,01970,Medical & Recreational
AMP Brockton,4 Main St G1,Brockton,02301,Medical & Recreational
AMP Fitchburg,774 Crawford St,Fitchburg,01420,Medical & Recreational
Fine Fettle Rowley,116 Newburyport Turnpike,Rowley,01969,Medical & Recreational
Fine Fettle West Springfield,175 Memorial Ave,West Springfield,01089,Recreational
The Vault Worcester,17 Mountain St E,Worcester,01606,Recreational
The Vault Webster,78 Worcester Rd Unit 225,Webster,01570,Recreational
Happy Valley East Boston,220 William McClellan Hwy,Boston,02129,Medical & Recreational
Happy Valley Gloucester,2 Blackburn Dr,Gloucester,01930,Medical & Recreational
In Good Health Taunton,30 Mozzone Blvd,Taunton,02780,Medical & Recreational
In Good Health Brockton,1200 West Chestnut St,Brockton,02301,Medical & Recreational
In Good Health Sandwich,160 Route 130,Sandwich,02563,Medical & Recreational
Northeast Alternatives Fall River,999 William S Canning Blvd,Fall River,02721,Medical & Recreational
Northeast Alternatives New Bedford,596 Tarkiln Hill Rd,New Bedford,02745,Medical & Recreational
Northeast Alternatives Seekonk,1903 Fall River Ave,Seekonk,02771,Medical & Recreational
ATG Salem,50 Grove St,Salem,01970,Medical & Recreational
ATG Amesbury,49 Macy St,Amesbury,01913,Medical & Recreational
ATG Salisbury,107 Elm St,Salisbury,01952,Medical & Recreational
Quincy Cannabis Co,715 Washington St,Quincy,02169,Recreational
Pinnacle Cannabis Quincy,15 Liberty St,Quincy,02169,Recreational
Panacea Wellness Quincy,216 Ricciuti Dr,Quincy,02169,Medical
Kush Groove Cambridge,701 Mount Auburn St,Cambridge,02138,Medical & Recreational
Firebrand Cannabis Boston,727 Atlantic Ave,Boston,02111,Medical & Recreational
New Dia Cannabis Boston,71 Lansdowne St,Boston,02215,Recreational
Green Meadows Boston,220 William McClellan Hwy,Boston,02128,Medical & Recreational
Starbird Salem,2 Bridge St,Salem,01970,Recreational
Zaza Green Springfield,311 Page Blvd Suite 2,Springfield,01104,Recreational
EMBR Springfield,461 Boston Rd,Springfield,01083,Recreational
EMBR Northampton,144 King St,Northampton,01060,Recreational
The Haven Center Provincetown,308 Commercial St,Provincetown,02657,Medical & Recreational
The Haven Center Brewster,4019 Main St,Brewster,02631,Medical & Recreational
Cape Cod Cannabis Wellfleet,2540 US-6,Wellfleet,02667,Medical & Recreational
Heal Inc Provincetown,48 Shank Painter Rd,Provincetown,02657,Medical & Recreational
Solar Cannabis Somerset,651 Grand Army Hwy,Somerset,02726,Medical & Recreational
Solar Cannabis Seekonk,1640 Fall River Ave,Seekonk,02771,Medical & Recreational
Solar Cannabis Dartmouth,493 Faunce Corner Rd,Dartmouth,02747,Medical & Recreational
CANA Craft Cannabis Fairhaven,240 Bridge St,Fairhaven,02719,Recreational
CANA Craft Cannabis New Bedford,596 Acushnet Ave,New Bedford,02740,Recreational
CANA Craft Cannabis Norton,242 Mansfield Ave,Norton,02766,Medical & Recreational
Zahara Cannabis Attleboro,70 Frank Mossberg Dr,Attleboro,02703,Recreational
Triple M Plymouth,9 Collins Ave,Plymouth,02360,Medical & Recreational
Triple M Mashpee,483 Nathan Ellis Hwy,Mashpee,02649,Medical & Recreational
Botera Brockton,890 Belmont St,Brockton,02301,Recreational
Botera Taunton,19 Oak St,Taunton,02780,Recreational
Hope Heal Health Fall River,1 West St,Fall River,02720,Medical & Recreational
Jack's Cannabis Northampton,34 Bridge St,Northampton,01060,Recreational
Jack's Cannabis Pittsfield,1021 South St,Pittsfield,01201,Recreational
Boston Bud Factory Holyoke,73 Sargeant St,Holyoke,01040,Recreational
Balagan Cannabis Northampton,235 Main St,Northampton,01060,Recreational
Central Ave Compassionate Care Ayer,31 Central Ave,Ayer,01432,Medical & Recreational
Mass Green Retail Lynn,829 Boston St,Lynn,01905,Recreational
Liberty Cannabis Somerville,304 Somerville Ave,Somerville,02143,Medical
The Botanist Worcester,9 Harrison St,Worcester,01604,Recreational
The Botanist Shrewsbury,41 Hartford Tpke,Shrewsbury,01545,Medical
Verilife Shrewsbury,366 Boston Tpke,Shrewsbury,01545,Recreational
Verilife Wareham,3005 Cranberry Hwy,Wareham,02538,Medical & Recreational
Bud's Goods & Provisions Worcester,9 Franklin St,Worcester,01608,Recreational
Green Gold Group Charlton,4 New Boston Rd,Charlton,01507,Recreational
Pettals Charlton,106 Old Worcester Rd,Charlton,01507,Recreational
Nature's Remedy Millbury,180 Grove St,Millbury,01527,Medical & Recreational
Nature's Remedy Tyngsborough,195 Lakeview Ave,Tyngsborough,01879,Medical & Recreational
Ascend New Bedford,513 Belleville Ave,New Bedford,02746,Medical & Recreational
Old Soul Gardens New Bedford,296 Coggeshall St,New Bedford,02746,Recreational
Trade Roots Wareham,3305 Cranberry Hwy,Wareham,02538,Recreational
Nature's Medicines Wareham,3005 Cranberry Hwy,Wareham,02538,Medical & Recreational
Campfire Cannabis Worcester,74 Millbury St,Worcester,01610,Recreational
Major Bloom Worcester,76 Millbury St,Worcester,01610,Recreational
Clear Sky Cannabis Worcester,143 Southwest Cutoff,Worcester,01604,Recreational
Clear Sky Cannabis Belchertown,45 Federal St,Belchertown,01007,Recreational
Clear Sky Cannabis North Adams,60 Main St,North Adams,01247,Recreational
Yamba Market Cambridge,620 Massachusetts Ave,Cambridge,02139,Recreational
The Boston Garden Cambridge,22 McGrath Hwy,Cambridge,02140,Recreational
The Boston Garden Somerville,22 McGrath Hwy,Somerville,02143,Recreational
The Boston Garden Athol,1182 Main St,Athol,01331,Recreational
Apex Noire Boston,252 Blue Hill Ave,Boston,02119,Recreational
Rooted In Boston,28 Canterbury St,Boston,02119,Medical & Recreational
Primitiv Boston,1058 Commonwealth Ave,Boston,02215,Recreational
Collective Cannabis Billerica,48 Burnap St,Billerica,01821,Recreational
Collective Cannabis Littleton,2 Foster St,Littleton,01460,Recreational
Harbor House Collective Chelsea,20 Eastern Ave,Chelsea,02150,Medical & Recreational
UMA Flowers Malden,145 Pleasant St,Malden,02148,Recreational
UMA Flowers Beverly,137 Dodge St,Beverly,01915,Recreational
Terpene Journey Peabody,200 Andover St,Peabody,01960,Recreational
Terpene Journey Swampscott,430 Paradise Rd,Swampscott,01907,Recreational
Redi Dispensary Newton,697 Washington St,Newton,02458,Recreational
Capeway Cannabis Wareham,2990 Cranberry Hwy,Wareham,02538,Recreational
The Piping Plover Wellfleet,2540 US-6,Wellfleet,02667,Recreational
Hennep Provincetown,203 Commercial St,Provincetown,02657,Recreational
Bwell Provincetown,48 Bradford St,Provincetown,02657,Medical & Recreational
DDM Cannabis Blackstone,393 Main St,Blackstone,01504,Recreational
Sunnyside Worcester,15 Stafford St,Worcester,01603,Recreational
Dazed Cannabis Holyoke,73 Sargeant St,Holyoke,01040,Recreational
Dazed Cannabis Tewksbury,1888 Main St,Tewksbury,01876,Recreational
Native Sun Cannabis Boston,350 Meridian St,Boston,02128,Recreational
United Cult Boston,85 Dorchester Ave,Boston,02127,Recreational
Mello Cannabis Haverhill,900 Broadway,Haverhill,01832,Recreational
Stem Haverhill,900 Broadway,Haverhill,01830,Recreational
Green Soul Cambridge,520 Massachusetts Ave,Cambridge,02139,Recreational
Western Front Central Square Cambridge,625 Massachusetts Ave,Cambridge,02139,Recreational
Herbwell Cambridge,705 Massachusetts Ave,Cambridge,02139,Recreational
Blue River Terps Cambridge,966 Cambridge St,Cambridge,02141,Recreational
Alternative Compassion Services Bridgewater,402 Bedford St,Bridgewater,02324,Medical
Bask Cannabis Freetown,75 Slab Bridge Rd,Freetown,02717,Medical & Recreational
Bask Cannabis Fairhaven,240 Bridge St,Fairhaven,02719,Medical & Recreational
Bask Cannabis Somerset,651 Grand Army Hwy,Somerset,02726,Medical & Recreational
Cannabis Connection West Springfield,800 Union St,West Springfield,01089,Recreational
6 Bricks Springfield,1530 Main St,Springfield,01103,Recreational
Liberty Cannabis Springfield,374 Dwight St,Springfield,01103,Recreational
Sunny Side Dispensary Boston,220 William McClellan Hwy,Boston,02128,Recreational
Green Meadows Dispensary Dracut,1451 Lakeview Ave,Dracut,01826,Recreational
Rebelle Worcester,143 Southwest Cutoff,Worcester,01604,Recreational
Harbor House Collective Worcester,9 Franklin St,Worcester,01608,Recreational
Bloom Brothers Boston,220 William McClellan Hwy,Boston,02128,Recreational
Apothca Arlington,21 Broadway,Arlington,02474,Recreational
Apothca Lynn,829 Boston St,Lynn,01902,Recreational & Medical
Mass Alternative Care Chicopee,906 Memorial Dr,Chicopee,01020,Medical & Recreational
RISE Dracut,19 School St,Dracut,01826,Recreational
RISE Amherst,375 Russell St,Amherst,01002,Medical & Recreational
Nova Farms Framingham,1137 Worcester Rd,Framingham,01701,Recreational
Nova Farms Attleboro,70 Frank Mossberg Dr,Attleboro,02703,Recreational
Nova Farms Dracut,1451 Lakeview Ave,Dracut,01826,Recreational
Green Meadows Fitchburg,50 Whalon St,Fitchburg,01420,Medical & Recreational
OMG Cannabis Fitchburg,223 Lunenburg St,Fitchburg,01420,Recreational
The Healing Center Fitchburg,346 River St,Fitchburg,01420,Medical & Recreational
Ethos Cannabis Fitchburg,774 Crawford St,Fitchburg,01420,Recreational & Medical
The Heirloom Collective Hadley,15 Russell St,Hadley,01035,Medical & Recreational
The Heirloom Collective Great Barrington,394 Stockbridge Rd,Great Barrington,01230,Recreational
The Verb is Herb Easthampton,74 Cottage St,Easthampton,01027,Recreational
Pleasantrees Easthampton,122 Pleasant St,Easthampton,01027,Recreational
Fyre Ants Easthampton,122 Pleasant St Suite 144,Easthampton,01027,Recreational
The Ounce Club Easthampton,122 Pleasant St,Easthampton,01027,Recreational
Suncrafted Cannabis Middleborough,477 Wareham St,Middleborough,02346,Recreational
The Farm Middleborough,29 Harding St,Middleborough,02346,Recreational
MariMed Middleborough,29 Abbey Ln,Middleborough,02346,Recreational
Sweetgrass Botanicals Lee,55 Main St,Lee,01238,Medical & Recreational
Rebelle Great Barrington,394 Stockbridge Rd,Great Barrington,01230,Recreational
Kapha Cannabis Pittsfield,10 Callahan Dr,Pittsfield,01201,Recreational
Potency Pittsfield,501 Dalton Ave,Pittsfield,01201,Recreational
Berkshire Cannabis Company Pittsfield,501 Dalton Ave,Pittsfield,01201,Recreational
reLeaf Alternative Natick,345 Speen St,Natick,01760,Recreational
reLeaf Alternative Mansfield,611 West St,Mansfield,02048,Recreational
Bountiful Farms Natick,345 Speen St,Natick,01760,Medical & Recreational
Native Sun North Attleborough,70 Frank Mossberg Dr,North Attleborough,02760,Recreational
Green Leaf Health North Attleborough,70 Frank Mossberg Dr,North Attleborough,02760,Medical & Recreational
Terps Attleboro,70 Frank Mossberg Dr,Attleboro,02703,Recreational
Greatest Hits Cannabis Taunton,30 Mozzone Blvd,Taunton,02780,Recreational
Greatest Hits Cannabis Lynn,696 Western Ave,Lynn,01905,Recreational
Flower & Soul Halifax,894 Plymouth St,Halifax,02338,Recreational
Seagrass Salem,2 Bridge St,Salem,01970,Recreational
Fire on Fore Salem,2 Bridge St,Salem,01970,Recreational
Boston South Shore Natural Therapies Plymouth,45 Resnik Rd Suite 202,Plymouth,02360,Medical
Caroline's Cannabis Uxbridge,15 Douglas St,Uxbridge,01569,Recreational
Caroline's Cannabis Millis,1525 Main St,Millis,02054,Recreational
Caroline's Cannabis Milford,145 Main St,Milford,01757,Recreational
Green Star Herbals Dracut,1451 Lakeview Ave,Dracut,01826,Recreational
Inhouse Cannabis Charlton,106 Old Worcester Rd,Charlton,01507,Recreational
MAC Chicopee,906 Memorial Dr,Chicopee,01020,Recreational
Heka Leominster,130 Pioneer Dr,Leominster,01453,Recreational
Mother Earth Wellness Melrose,732 Newburyport Turnpike,Melrose,02176,Medical & Recreational
The Cannaisseur Athol,1182 Main St,Athol,01331,Recreational
New England Harvest Northampton,144 King St,Northampton,01060,Recreational
Turning Leaf Milford,145 Main St,Milford,01757,Recreational
Natures Heritage Dracut,1451 Lakeview Ave,Dracut,01826,Recreational
Lantern Andover,345 Lowell St,Andover,01810,Recreational
3C Compassionate Care Center Bridgewater,402 Bedford St,Bridgewater,02324,Medical
Ermont Quincy,15 Liberty St,Quincy,02169,Medical & Recreational
Silver Therapeutics Williamstown,55 Spring St,Williamstown,01267,Medical
Lazy River Products Dracut,1451 Lakeview Ave,Dracut,01826,Recreational
Cultivate Leicester,1764 Main St,Leicester,01524,Medical & Recreational
Acreage Wareham,3005 Cranberry Hwy,Wareham,02571,Recreational
Pure Oasis Boston,430 Blue Hill Ave,Boston,02121,Recreational
Ascend Boston,254 Friend St,Boston,02114,Medical & Recreational
Ascend Newton,1089 Washington St,Newton,02465,Medical & Recreational
Zen Leaf Plymouth,11 Richards Rd,Plymouth,02360,Medical & Recreational
Reverie 73 Lowell,1148 Bridge St,Lowell,01850,Recreational
Green Home Dispensary Lowell,45 Central St,Lowell,01852,Recreational
Legal Greens Brockton,75 Pleasant St,Brockton,02301,Recreational
Commonwealth Alternative Care Brockton,1090 West Chestnut St,Brockton,02301,Medical & Recreational
Green 4 All Brockton,327 North Pearl St,Brockton,02301,Recreational
Cannapi Brockton,255 North Pearl St,Brockton,02301,Recreational
UpTop Framingham,315 Worcester Rd,Framingham,01701,Medical
Redi Cannabis Natick,345 Speen St,Natick,01760,Recreational
Sanctuary Medicinals Brookline,1351 Beacon St,Brookline,02446,Medical & Recreational
Trailblazers Northampton,144 King St,Northampton,01060,Recreational
