Name,Address,City,State,Zip,Phone,Website,Type
Cookies - Detroit,6030 8 Mile Road,Detroit,MI,48234,(313) 242-6080,https://shop.gagecannabis.com/cookiesdetroit,Recreational & Medical
Cookies - Ann Arbor,2460 W Stadium Blvd,Ann Arbor,MI,48103,(734) 436-1551,https://shop.gagecannabis.com/cookiesannarbor,Recreational & Medical
Cookies - Kalamazoo,2712 Portage Street,Kalamazoo,MI,49001,,https://gagecannabis.com,Recreational & Medical
Cookies - Grand Rapids,,,Grand Rapids,MI,,,https://gagecannabis.com,Recreational & Medical
Cookies - Jackson,118 N. Columbus St,Jackson,MI,,,https://gagecannabis.com,Recreational & Medical
Cookies - Monroe,14750 Laplaisance Rd Unit H260,Monroe,MI,48161,(734) 418-7255,https://gagecannabis.com,Recreational & Medical
Exclusive - Ann Arbor,3820 Varsity Dr,Ann Arbor,MI,48108,(734) 494-0772,https://exclusivemi.com,Recreational & Medical
Exclusive - Coldwater,599 E Chicago St,Coldwater,MI,49036,(517) 855-2178,https://exclusivemi.com,Recreational & Medical
Exclusive - Grand Rapids,2350 29th St SE,Grand Rapids,MI,49508,(616) 888-6753,https://exclusivemi.com,Recreational & Medical
Exclusive - Kalamazoo,937 Foster Ave,Kalamazoo,MI,49048,(269) 447-1779,https://exclusivemi.com,Recreational & Medical
Exclusive - Lowell,,,Lowell,MI,,,https://exclusivemi.com,Recreational & Medical
Exclusive - Monroe,,,Monroe,MI,,,https://exclusivemi.com,Recreational & Medical
Exclusive - Muskegon,,,Muskegon,MI,,,https://exclusivemi.com,Recreational & Medical
JARS Cannabis - New Buffalo,19799 US 12,New Buffalo,MI,49117,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - New Buffalo 2,11451 O'Brien Ct,New Buffalo,MI,49117,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Monroe,15519 S Telegraph Rd,Monroe,MI,48161,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Ann Arbor,3005 Packard St,Ann Arbor,MI,48197,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Hazel Park,20731 Dequindre Rd,Hazel Park,MI,48030,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Lansing,6450 S Cedar St,Lansing,MI,48911,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Detroit,,,Detroit,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Riverview,,,Riverview,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Port Huron,,,Port Huron,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Chesterfield Township,,,Chesterfield Township,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Grand Rapids Alpine,,,Grand Rapids,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Saugatuck,,,Saugatuck,MI,,,https://jarscannabis.com,Recreational & Medical
Gage Cannabis - Burton,1234 North Center Road,Burton,MI,48509,(810) 243-4243,https://gagecannabis.com,Recreational & Medical
Gage Cannabis - Battle Creek,48 Main Street,Battle Creek,MI,49014,(269) 234-7223,https://gagecannabis.com,Recreational & Medical
Gage Cannabis - Detroit,,,Detroit,MI,,,https://gagecannabis.com,Recreational & Medical
Gage Cannabis - Ferndale,,,Ferndale,MI,,,https://gagecannabis.com,Recreational & Medical
House of Dank - 8 Mile,6640 E 8 Mile Rd,East Detroit,MI,48234,,https://shophod.com,Recreational & Medical
House of Dank - Gratiot,,,Detroit,MI,,,https://shophod.com,Recreational & Medical
House of Dank - Livernois,,,Detroit,MI,,https://shophod.com,Medical
House of Dank - Fort Street,,,Detroit,MI,,https://shophod.com,Recreational
House of Dank - Center Line,,,Center Line,MI,,https://shophod.com,Recreational
House of Dank - Ann Arbor,,,Ann Arbor,MI,,,https://shophod.com,Recreational & Medical
House of Dank - Monroe,14750 Laplaisance Rd Ste H160,Monroe,MI,48161,,https://shophod.com,Recreational
House of Dank - Ypsilanti,,,Ypsilanti,MI,,https://shophod.com,Recreational
House of Dank - Grand Rapids,3510 E Mall Dr SE,Grand Rapids,MI,49546,,https://shophod.com,Recreational & Medical
House of Dank - Lansing,2905 N East St,Lansing,MI,48906,,https://shophod.com,Recreational & Medical
House of Dank - Traverse City,514 Munson Ave,Traverse City,MI,49686,,https://shophod.com,Recreational & Medical
House of Dank - Saginaw,3054 E Holland Rd,Saginaw,MI,48601,,https://shophod.com,Recreational & Medical
House of Dank - Kalamazoo,,,Kalamazoo,MI,,,https://shophod.com,Recreational & Medical
Lume Cannabis - Adrian,,,Adrian,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Ann Arbor,,,Ann Arbor,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Berkley,,,Berkley,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Big Rapids,,,Big Rapids,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Cadillac,,,Cadillac,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Cedar Springs,,,Cedar Springs,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Coldwater,,,Coldwater,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Escanaba,,,Escanaba,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Evart,,,Evart,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Gaylord,,,Gaylord,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Grand Rapids,,,Grand Rapids,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Honor,,,Honor,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Houghton,,,Houghton,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Iron Mountain,,,Iron Mountain,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Jackson,,,Jackson,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Kalamazoo,,,Kalamazoo,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Kalkaska,,,Kalkaska,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Lowell,,,Lowell,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Mackinaw City,,,Mackinaw City,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Manistique,,,Manistique,MI,,,https://www.lume.com,Recreational & Medical
