Dispensary Name,Address,City,Zip Code,Type
Green Goods - Minneapolis,207 S 9th St,Minneapolis,55402,Medical & Recreational
Green Goods - Blaine,672 County Highway 10,Blaine,55434,Medical & Recreational
Green Goods - Bloomington,5232 West 84th Street,Bloomington,55431,Medical & Recreational
Green Goods - Burnsville,14334 Burnhaven Drive,Burnsville,55306,Medical & Recreational
Green Goods - Woodbury,803 Bielenberg Dr Building F5 Suite 101,Woodbury,55125,Medical & Recreational
Green Goods - Duluth/Hermantown,4960 Miller Trunk Hwy Suite 300,Hermantown,55811,Medical & Recreational
Green Goods - Rochester,3456 E Circle Dr NE Suite 104,Rochester,55906,Medical & Recreational
Green Goods - Moorhead,800 30th Avenue S,Moorhead,56560,Medical & Recreational
RISE - St. Paul,2239 Ford Pkwy,Saint Paul,55116,Medical & Recreational
RISE - St. Cloud,3800 3rd St N,St. Cloud,56303,Medical & Recreational
RISE - Baxter,14091 Baxter Drive,Baxter,56245,Medical & Recreational
RISE - Brooklyn Park,8016 Brooklyn Blvd,Brooklyn Park,55445,Medical & Recreational
RISE - Mankato,1400 Madison Ave,Mankato,56001,Medical & Recreational
RISE - Willmar,1413 1st Street S,Willmar,56201,Medical & Recreational
RISE - Eagan,1340 Town Centre Drive,Eagan,55123,Medical & Recreational
RISE - New Hope,7700 North 42nd Avenue Suite A,New Hope,55427,Medical & Recreational
Legacy Cannabis,1906 W Superior St,Duluth,55806,Recreational
Waabigwan Mashkiki - Mahnomen,850 E Adams Ave,Mahnomen,56557,Tribal - Recreational
Waabigwan Mashkiki - Moorhead,2902 US-10,Moorhead,56560,Tribal - Recreational
NativeCare - Red Lake,24400 Highway 1 E,Red Lake,56671,Tribal - Recreational
Island Pezi - Welch,6030 Sturgeon Lake Road Suite B,Welch,55089,Tribal - Recreational
Lake Leaf - Hinckley,699 Lucky Trail,Hinckley,55037,Tribal - Recreational
Lake Leaf - Onamia,16420 Ataage Drive,Onamia,56359,Tribal - Recreational
Lake Leaf - Isle,810 Highway 47 S,Isle,56342,Tribal - Recreational
Bloom Wellness Dispensary,550 Vandalia St Suite 175,Saint Paul,55114,Medical & Recreational
Loon Leaf,8700 University Ave NE,Blaine,55434,Medical & Recreational
Wildflower - Northeast,326 Central Ave SE,Minneapolis,55414,Recreational
Wildflower - North Loop,212 N 2nd St Suite 103,Minneapolis,55414,Recreational
Elevate Cannabis Dispensary,214 W Lincoln Ave,Fergus Falls,56537,Recreational
