Dispensary Name,Address,City,Zip Code,Type
Zen Leaf Lawrence,3256 Brunswick Pike,Lawrence Township,08648,Medical & Recreational
Zen Leaf Neptune,2100 Route 66,Neptune Township,07753,Medical & Recreational
Zen Leaf Mt. Holly,600 High St,Mt. Holly,08060,Medical & Recreational
Zen Leaf Elizabeth,117 Spring St,Elizabeth,07201,Medical & Recreational
Ayr Wellness Eatontown,59 Main St,Eatontown,07724,Medical & Recreational
Ayr Wellness Union,2536 U.S. 22,Union,07083,Medical & Recreational
Ayr Wellness Woodbridge,950 U.S. 1,Woodbridge Township,07095,Medical & Recreational
Ascend Rochelle Park,174 Route 17 N,Rochelle Park,,Medical & Recreational
Ascend Fort Lee,461-469 West State St,Fort Lee,,Medical & Recreational
Rise Paterson,196 3rd Ave Suite 3C,Paterson,07514,Medical & Recreational
Rise Paramus,145 Route 4 W,Paramus,,Medical & Recreational
Rise Bloomfield,26-48 Bloomfield Ave,Bloomfield,,Medical & Recreational
The Apothecarium Maplewood,1865 Springfield Ave,Maplewood,07040,Medical & Recreational
The Apothecarium Phillipsburg,55 S Main St,Phillipsburg,08865,Medical & Recreational
The Apothecarium Lodi,200 NJ-17,Lodi,07644,Medical & Recreational
Union Chill Cannabis Company,204 N Union St,Lambertville,08530,Medical & Recreational
Cannabist Mays Landing,4476 Black Horse Pike,Mays Landing,08330,Medical & Recreational
Cannabist Vineland,1062 North Delsea Dr,Vineland,08360,Medical & Recreational
Cannabist Deptford,1692 Clements Bridge Rd,Deptford,08096,Medical & Recreational
Breakwater Treatment & Wellness Cranbury,2 Corporate Dr Ste E,Cranbury,08512,Medical Only
Breakwater Treatment & Wellness Roselle Park,154 Westfield Ave W,Roselle Park,07204,Medical & Recreational
Curaleaf Bellmawr,640 Creek Rd,Bellmawr,08031,Medical & Recreational
Curaleaf Bordentown,191 Route 130,Bordentown,08505,Medical & Recreational
Curaleaf Edgewater Park,4237 U.S. 130,Edgewater Park,,Medical & Recreational
MPX NJ Atlantic City,124 St James Pl,Atlantic City,08401,Medical & Recreational
The Botanist Egg Harbor Township,100 Century Dr,Egg Harbor Township,08234,Medical & Recreational
Everest Dispensary Atlantic City,1226 Atlantic Ave,Atlantic City,08401,Recreational
Design 710 Atlantic City,112 Park Place,Atlantic City,,Medical & Recreational
City Leaves Egg Harbor Township,2516 Fire Rd,Egg Harbor Township,08234,Medical & Recreational
The Social Leaf Toms River,334 Atlantic City Blvd,Toms River,08757,Recreational
Scarlet Reserve Room Englishtown,5 Hamilton Rd,Englishtown,07726,Medical & Recreational
Nirvana Dispensary Mount Laurel,1134 Route 73,Mt Laurel,08054,Medical & Recreational
Theory Wellness Trenton,461 New York Ave,Trenton,,Medical & Recreational
Restore Dispensaries Glassboro,300 William Dalton Dr,Glassboro,08028,Medical Only
Hashery Hackensack,409 NJ-17,Hackensack,,Medical & Recreational
Downtown FLWR Jersey City,141 Newark Ave,Jersey City,,Recreational
RIPT Dispensary Jersey City,220 Broadway,Jersey City,07306,Medical & Recreational
URB'N Dispensary Newark,378 South St,Newark,07105,Medical & Recreational
Treeotics Newark,,Newark,,Medical & Recreational
Harmony Dispensary Secaucus,600 Meadowlands Pkwy Ste 15,Secaucus,07094,Medical Only
Cannabis Clubhouse Sussex,70-72 East Main St,Sussex,07461,Medical & Recreational
NJ Leaf Freehold,,Freehold,,Medical & Recreational
Valley Wellness Raritan,,Raritan,,Medical & Recreational
Jersey Meds Pennington,,Pennington,,Recreational
GW Leaf Dispensary Fort Lee,,Fort Lee,,Medical & Recreational
Conservatory Cannabis Co Egg Harbor Township,,Egg Harbor Township,,Medical & Recreational
Med Leaf Dispensary Egg Harbor City,,Egg Harbor City,,Medical & Recreational
Brute's Roots Egg Harbor Township,,Egg Harbor Township,,Medical & Recreational
Blue Violets Hoboken,,Hoboken,,Recreational
Garfield Gardens Dispensary Garfield,,Garfield,,Medical & Recreational
Yuma Way Garfield,,Garfield,,Medical & Recreational
Elevated Herb West Milford,,West Milford,,Medical & Recreational
Jersey Roots West Milford,,West Milford,,Medical & Recreational
Soulflora Newfoundland,,Newfoundland,,Medical & Recreational
G2 Dispensary Rockaway,,Rockaway,,Medical & Recreational
Holistic Re-Leaf Rockaway,,Rockaway,,Medical & Recreational
Kind Kush Rockaway,,Rockaway,,Medical & Recreational
Hackettstown Dispensary Hackettstown,,Hackettstown,,Medical & Recreational
High Street Dispensary Hackettstown,,Hackettstown,,Medical & Recreational
Theo A. Cannabis Franklin,,Franklin,,Medical & Recreational
Timber 5 Somerset,,Somerset,,Medical & Recreational
Leaf Haus Somerset,,Somerset,,Medical & Recreational
Township Green Riverside,,Riverside,,Medical & Recreational
Mass Grown Mount Holly,,Mount Holly,,Medical & Recreational
CannaBoy Treehouse South Orange,,South Orange,,Medical & Recreational
City Leaf Newark,,Newark,,Medical & Recreational
Boone Town Provisions Boonton,,Boonton,,Medical & Recreational
Casa Verde Wellness Dover,,Dover,,Medical & Recreational
Bud It Up! Englishtown,,Englishtown,,Medical & Recreational
Garden State Botanicals North Brunswick,,North Brunswick,,Medical & Recreational
High Profile Lakehurst Lakehurst,,Lakehurst,,Medical & Recreational
BLOC Waretown,,Waretown,,Medical & Recreational
Golden Door Dispensary Jersey City,,Jersey City,,Medical & Recreational
Blossom Dispensary Jersey City,,Jersey City,,Medical & Recreational
Bay Street Greenery Jersey City,,Jersey City,,Medical & Recreational
Village Brands Hoboken,,Hoboken,,Medical & Recreational
The Botanist Williamstown,2090 N Black Horse Pike,Williamstown,08094,Medical & Recreational
Phasal Runnemede,1100 N Black Horse Pike,Runnemede,08078,Medical & Recreational
Camden Apothecary Camden,1205 Haddon Ave,Camden,08103,Medical & Recreational
