Dispensary Name,Address,City,Zip Code,Type
Bloom Medicinals,1361 Georgesville Road,Columbus,43228,Medical & Recreational
Bloom Medicinals,737 E North Street,Akron,44305,Medical & Recreational
Bloom Medicinals,382 Blackbrook Road,Painesville,44077,Medical & Recreational
Bloom Medicinals,403 South Main Street,Seven Mile,45062,Medical & Recreational
Bloom Medicinals,1238 Conant Street,Maumee,43537,Medical & Recreational
Amplify Dispensary,5304 N Hamilton Road,Columbus,43230,Medical & Recreational
Amplify Dispensary,22803 Rockside Road,Bedford,44146,Medical & Recreational
Herbal Wellness Center,2950 E Main Street,Columbus,43209,Medical & Recreational
Herbal Wellness Center,544 Richland Avenue,Athens,45701,Medical & Recreational
Terrasana Cannabis,656 Grandview Avenue,Columbus,43215,Medical & Recreational
Terrasana Cannabis,10500 Antenucci Boulevard Suite 200,Garfield Heights,44125,Medical & Recreational
Terrasana Cannabis,1800 East State Street,Fremont,43420,Medical & Recreational
Terrasana Cannabis,3616 Dixie Highway,Middletown,45042,Medical & Recreational
The Botanist,115 Vine Street,Columbus,43215,Medical & Recreational
The Botanist,46 S Summit Street,Akron,44308,Medical & Recreational
The Botanist,3840 Greentree Avenue SW,Canton,44706,Medical & Recreational
The Botanist,3865 Lakeside Avenue E,Cleveland,44114,Medical & Recreational
The Botanist,30133 Euclid Avenue,Wickliffe,44092,Medical & Recreational
Trulieve,8295 Sancus Boulevard,Columbus,43081,Medical & Recreational
Trulieve,2950 N High Street,Columbus,43202,Medical & Recreational
Trulieve,601 South High Street,Columbus,43215,Medical & Recreational
RISE Dispensary,1222 Prospect Avenue E,Cleveland,44115,Medical & Recreational
RISE Dispensary,18607 Detroit Avenue,Lakewood,44107,Medical & Recreational
RISE Dispensary,11818 Madison Avenue,Lakewood,44107,Medical & Recreational
RISE Dispensary,1920 Cooper Foster Park Road,Lorain,44053,Medical & Recreational
RISE Dispensary,3157 W Sylvania Avenue,Toledo,43613,Medical & Recreational
RISE Dispensary,4141 E Broad Street,Whitehall,43213,Medical & Recreational
The Forest Dispensary,5020 Milan Road,Sandusky,44870,Medical & Recreational
The Forest Dispensary,1711 W Main Street,Springfield,45504,Medical & Recreational
The Forest Dispensary,4412 Mount Carmel Tobasco Road,Cincinnati,45244,Medical & Recreational
About Wellness Ohio,350 E Long Street,Columbus,43215,Medical & Recreational
NAR Reserve,350 E Long Street,Columbus,43215,Medical & Recreational
Story Cannabis,6075 Emerald Parkway,Dublin,43016,Medical & Recreational
Story Cannabis,1264 East Dublin Granville Road,Columbus,43229,Medical & Recreational
Story Cannabis,115 North 2nd Street,Coshocton,43812,Medical & Recreational
Story Cannabis,6400 Brookpark Road,Cleveland,44129,Medical & Recreational
Story Cannabis,3950 Edwards Road,Cincinnati,45209,Medical & Recreational
Story Cannabis,1233 Omniplex Drive,Cincinnati,45240,Medical & Recreational
Story Cannabis,1930 Lincoln Way East,Massillon,44646,Medical & Recreational
AYR Dispensary,6722 Ohio 132,Goshen,45122,Medical & Recreational
AYR Dispensary,8990 South Old State Road,Lewis Center,43035,Medical & Recreational
AYR Dispensary,1212 Youngstown Warren Road,Niles,44446,Medical & Recreational
AYR Dispensary,6555 Pearl Road,Parma Heights,44130,Medical & Recreational
AYR Dispensary,4918 Airway Road,Dayton,45431,Medical & Recreational
Zen Leaf,1155 N Main Street,Bowling Green,43402,Medical & Recreational
Zen Leaf,8420 Vine Street,Cincinnati,45216,Medical & Recreational
Zen Leaf,3224 Cleveland Avenue NW,Canton,44709,Medical & Recreational
Zen Leaf,5604 Airway Road,Riverside,45431,Medical & Recreational
Zen Leaf,1250 N 21st Street,Newark,43055,Medical & Recreational
Strawberry Fields,333 Wayne Avenue,Dayton,45410,Medical & Recreational
Strawberry Fields,245 W Main Street,Logan,43138,Medical & Recreational
Strawberry Fields,300 N Main Street,Monroe,45050,Medical & Recreational
Strawberry Fields,414 Greene Street,Marietta,45750,Medical & Recreational
Verdant Creations,876 State Route 61,Marengo,43334,Medical & Recreational
Verdant Creations,1243 N Cassady Avenue,Columbus,43219,Medical & Recreational
