Dispensary Name,Address,City,Zip Code,Type
Thomas C. Slater Compassion Center,1 Corliss St,Providence,02904,Medical & Recreational
Summit Medical Compassion Center,380 Jefferson Blvd,Warwick,02886,Medical
RISE Dispensary Warwick,444 Quaker Ln,Warwick,02886,Medical & Recreational
Mother Earth Wellness,125 Esten Ave,Pawtucket,02860,Medical & Recreational
Greenleaf Compassionate Care Center,1637 W Main Rd,Portsmouth,02871,Medical & Recreational
Solar Cannabis Co.,65 Meadow St,Warwick,02886,Medical & Recreational
Aura of Rhode Island,1136 Lonsdale Ave,Central Falls,02863,Medical & Recreational
Sweetspot Dispensary,560 S County Trl,Exeter,02822,Medical & Recreational
Sweetspot Dispensary - South Kingstown,91 Pershing Ave,South Kingstown,02879,Consultation Only
Reef Wellness (New Leaf Compassion Center),2000 Diamond Hill Rd,Woonsocket,02895,Medical & Recreational
Cannabis Dispensary,50 Airport Rd,Westerly,02891,Medical & Recreational
