Dispensary Name,Address,City,State,Zip Code,Phone,Type
Have a Heart - Belltown,115 Blanchard St,Seattle,WA,98121,,Recreational
Have a Heart - Greenwood,300 NW 85th Street Ste A,Seattle,WA,98117,,Recreational
Have a Heart - Ocean Shores,668 Ocean Shores Blvd NW,Ocean Shores,WA,98569,,Recreational
Have a Heart - Skyway,12833 Martin Luther King Jr Way S,Seattle,WA,98178,,Recreational
Dockside Cannabis - Ballard,4601 Leary Way NW,Seattle,WA,98107,,Recreational
Dockside Cannabis - SODO,1728 4th Ave S,Seattle,WA,98134,,Recreational
Dockside Cannabis - Green Lake,8401 Aurora Ave N Suite F,Seattle,WA,98103,,Recreational
Dockside Cannabis - Shoreline,15029 Aurora Ave N,Shoreline,WA,98133,,Recreational
Uncle Ike's - Central District,2310 E Union St,Seattle,WA,98122,(206) 420-5770,Medical & Recreational
Uncle Ike's - Capitol Hill,501 15th Ave E,Seattle,WA,98112,(206) 420-5798,Recreational
Uncle Ike's - Lake City,11306 Lake City Way NE,Seattle,WA,98125,(206) 436-0044,Recreational
Uncle Ike's - Olive Way,1411 E Olive Way,Seattle,WA,98122,(206) 330-0498,Recreational
Uncle Ike's - White Center,9822 15th Ave SW,Seattle,WA,98106,(206) 420-5759,Medical & Recreational
Clutch Cannabis,11537 Rainier Ave South,Seattle,WA,98178,,Recreational
Hi-Top Cannabis,224 Westlake Ave N,Seattle,WA,98109,,Recreational
The Bakerée - Wall St,2318 1st Ave,Seattle,WA,98121,,Recreational
American Mary Dispensary,2721 1st Ave,Seattle,WA,98121,,Recreational
The Reef Cannabis Dispensary,1104 Pike St,Seattle,WA,98101,,Recreational
The Green Door Seattle,8919 Aurora Ave N,Seattle,WA,98103,,Recreational
Lux Pot Shop Belltown,2226 1st Ave,Seattle,WA,98121,,Recreational
Cannazone Seattle Cannabis Dispensary,8515 Greenwood Ave N,Seattle,WA,98103,,Recreational
Shawn Kemp's Cannabis,325 5th Ave S,Seattle,WA,98104,,Recreational
Ruckus - Recreational Marijuana 21+,4226 Rainier Ave S,Seattle,WA,98118,,Recreational
A Greener Today - South Seattle,5209 Martin Luther King Jr Way S,Seattle,WA,98118,,Recreational
Hashtag Cannabis - Seattle,224 Nickerson St,Seattle,WA,98109,(206) 946-8157,Recreational
Hashtag Cannabis - Fremont,224 Nickerson St,Seattle,WA,98109,,Recreational
Origins Cannabis - West Seattle,4800 40th Ave SW,Seattle,WA,98116,(206) 922-3954,Recreational
Cannabis City,421 S Lander St,Seattle,WA,98134,,Recreational
Pot Shop Seattle,1628 Dexter Ave N,Seattle,WA,98109,,Recreational
Seattle Cannabis Co,7266 Rainier Ave S,Seattle,WA,98118,,Recreational
OZ. Cannabis,3820 Stone Way N,Seattle,WA,98103,,Recreational
The Bakeréé - Georgetown,5912 Airport Way S,Seattle,WA,98108,,Medical & Recreational
Canna West Seattle,6015 California Ave SW,Seattle,WA,98136,,Recreational
The Reef Georgetown,6420 Corson Ave S,Seattle,WA,98108,,Recreational
North Bay Marijuana,8028 15th Ave NW,Seattle,WA,98117,,Medical & Recreational
Greenway Marijuana,6504 California Ave SW,Seattle,WA,98136,,Recreational
Pot Zone,9549 Delridge Way SW,Seattle,WA,98106,,Recreational
Herban Market,8026 15th Ave NW,Seattle,WA,98117,,Medical & Recreational
Fweedom Cannabis,8515 Greenwood Ave N,Seattle,WA,98103,,Recreational
Ganja Goddess,8000 15th Ave NW,Seattle,WA,98117,,Recreational
Lux Pot Shop Fremont,3420 Stone Way N,Seattle,WA,98103,,Recreational
White Rabbit,501 Queen Anne Ave N,Seattle,WA,98109,,Recreational
Ocean Greens,2722 Alaskan Way,Seattle,WA,98121,,Recreational
Green Fire,2803 Alaskan Way,Seattle,WA,98121,,Recreational
Herb's House,423 Broadway E,Seattle,WA,98102,,Recreational
Diego Pellicer,2215 4th Ave,Seattle,WA,98121,,Recreational
Piece of Mind Cannabis,7516 35th Ave NE,Seattle,WA,98115,,Recreational
Emerald City,2912 1st Ave,Seattle,WA,98121,,Recreational
Nevermind,2707 1st Ave,Seattle,WA,98121,,Recreational
The Joint - Seattle,4511 University Way NE,Seattle,WA,98105,,Recreational
Zips Cannabis - SODO,2215 4th Ave S,Seattle,WA,98134,,Recreational
Higher Leaf - Kirkland,12525 Willows Rd NE Suite 10,Kirkland,WA,98034,(425) 820-5967,Recreational
Higher Leaf - Eastgate,3079 156th Ave SE,Bellevue,WA,98006,(425) 747-5967,Recreational
Higher Leaf - Factoria,12827 SE 40th Place,Bellevue,WA,98006,(425) 502-7033,Recreational
Higher Leaf - BelRed,1940 124th Ave NE,Bellevue,WA,98005,(425) 455-0965,Recreational
Higher Leaf - Redmond Downtown,15937 Redmond Way,Redmond,WA,98052,(425) 556-8654,Recreational
Higher Leaf - Redmond Avondale,8210 Avondale Way NE,Redmond,WA,98052,(425) 242-0438,Recreational
Novel Tree - Bellevue,1817 130th Ave NE Suite B,Bellevue,WA,98005,(425) 867-2700,Recreational
Novel Tree - Bremerton,3720 Kitsap Way Suite AA,Bremerton,WA,98312,(360) 616-2014,Recreational
Evergreen Market - Bellevue,638 116th Ave NE,Bellevue,WA,98004,,Recreational
Evergreen Market - North Renton,409 Rainier Ave N,Renton,WA,98057,,Recreational
Evergreen Market - South Renton,4242 E Valley Rd,Renton,WA,98057,,Recreational
Evergreen Market - Renton Highlands,4040 NE Sunset Blvd,Renton,WA,98056,,Recreational
Evergreen Market - Auburn,620 4th St NE,Auburn,WA,98002,,Recreational
Evergreen Market - Kirkland,11438 NE 124th St,Kirkland,WA,98034,,Recreational
Hashtag Cannabis - Redmond,7829 Leary Way NE,Redmond,WA,98052,(425) 256-3148,Recreational
Origins Cannabis - Redmond,16390 Cleveland St,Redmond,WA,98052,(425) 298-0170,Recreational
